IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
0,1,198,587.2068,-0.284,28.3251,5.54074,1007.43,27.320999999999998,10.2313,19.1442,207.47799999999998,0.869152,0.15193800000000002,0.905486233,0.0,0.957427108,0.172807097,1.5742948793642097e-09,4.7137448,0.657833,,0.56415,0.9959600000000001,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,1.241344,2.6855740000000003,-0.759732,-2.811439,-0.907425,2.823387,-0.5147229999999999,-0.474817,1.6673310000000001,-0.18321800000000002,-0.634989,1.6434900000000001,1.579983,1.260023,1.07159,1.30247,-1.932665,-0.555809,AGT,most likely
0,0,38,17.52078,-0.4952,38.335,27.0545,28.1895,53.6259,43.5993,32.7289,12.5824,40.4128,46.2769,0.0,0.0,0.0,0.831385493,0.9978162068559221,8.7600131,0.018661,9.28198,-0.21778699999999998,-0.154329,-0.65,0.181773,-0.22937399999999997,0.098281,0.15598399999999998,0.006734,-0.055102,-0.12016900000000001,-0.030257999999999997,-0.083449,-0.254352,-0.10981300000000001,0.045959,0.043924,0.125809,0.233733,0.049249,-0.21414,-0.155432,0.081136,-0.017514,0.034569,0.11180599999999999,-0.492429,AKT2,probable
0,0,104,264.70005,0.3519,,,,,,,,,,,,,0.146139458,0.159467559569008,,,13.87176,,,,,,,,,,,,,,,,,,,,,,,,,,,AL031666.2,least likely
0,0,98,722.18127,0.2755,,,,,,,,,,,,,,,,,9.755545,,,,,,,,,,,,,,,,,,,,,,,,,,,AL160274.1,least likely
0,0,465,611.7661,-0.3,,,,,,,,,,,,,,,,,12.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354808.2,least likely
0,0,48,21.642979999999998,0.4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354993.1,least likely
0,0,159,1286.8759699999998,-0.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL391152.1,least likely
0,0,56,169.84402,0.6414,,,,,,,,,,,,,0.237914741,0.17274564375050197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL445989.1,least likely
0,0,27,11.5284,0.2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL591806.1,least likely
0,0,122,94.57913,-0.3108,1.7390700000000001,0.585551,0.38622,13.5439,30.3377,0.35989699999999997,2.11553,0.849533,0.23048400000000002,0.0,0.0,0.0,0.21963588899999997,4.8954693456369e-05,1.70705006,0.804471,5.8026800000000005,3.465179,3.93096,,3.9856949999999998,2.761172,2.624324,2.7561560000000003,3.154977,3.8204910000000005,3.964067,3.3738040000000002,4.105542,2.481168,4.077557,2.207448,4.422732,4.056207,1.7685220000000001,2.8769669999999996,2.257061,4.05194,3.240065,3.4537440000000004,3.3272559999999998,3.8068760000000004,2.977153,AMH,probable
