IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
0.0,0.0,1399.0,12.51592,0.4977,32.261064899999994,34.5659,19.627546399999993,34.88801000000003,51.05709690000001,36.708099000000004,20.86066689999999,69.54080918999998,53.30168763999999,0.027948858980000005,0.0,0.01914854216,0.67287783938,0.5193827341886273,4.865082511600002,0.019870649999999993,8.002722149999997,-0.029331499999999986,0.013005010000000008,-0.32639999999999975,0.026974360000000006,0.07890826000000002,-0.0014188100000000026,-0.08605217999999999,-0.010928389999999994,-0.02936674,-0.07429590000000003,-0.013303979999999998,-0.053100650000000034,-0.05438306000000001,-0.03256418999999999,0.04941076,0.013082109999999997,-0.01758043,0.12561628000000002,-0.0033013399999999916,-0.04501377999999999,-0.043424990000000004,-0.04654556000000001,0.02711175,-0.03588871999999998,0.020341950000000008,-0.08584520000000001
0.0,0.0,210.0,171.18661,-0.3834,15.080902200000004,23.015603099999986,10.910395770000006,26.547124500000006,39.9912007,27.237915800000007,14.118511099999996,42.519919800000025,38.54255546000001,0.01477612053,0.0,0.0,0.6120620858699999,0.3804704684621267,3.8794086904999996,0.0039097099999999985,7.766,-0.011642930000000003,0.008300360000000007,-0.27059999999999984,0.03784442000000001,0.05496506000000002,0.010218070000000006,0.03272033000000001,0.06336571,-0.0359305,-0.06921194000000004,-0.028226080000000014,-0.04199965,-0.08675403999999996,-0.038281050000000004,0.05912656000000001,0.011855449999999997,0.024310449999999994,0.10210268000000002,-0.034396619999999975,0.044412440000000025,-0.03877048999999999,0.05068868999999999,0.035813060000000015,-0.0020523900000000046,0.03905908000000002,-0.02163088
0.0,0.0,261.0,4573.515329999998,-0.4349,23.561178400000003,27.5164253,13.319873700000006,31.021987700000007,43.0027956,27.655727300000013,16.456861099999998,41.020272400000025,36.17843205,0.00465944823,0.0,0.015357479729999998,0.4816119472299998,0.28285992044961406,4.2947322003999995,-0.02578694,7.39595,-0.06734383,0.05624859,0.2911000000000001,0.004228470000000013,0.0017969500000000003,-0.02214379,0.031907690000000016,0.04919656000000001,-0.039630799999999994,-0.07388905000000005,-0.06401913999999999,0.03190716999999999,-0.10870268,-0.034213319999999985,0.030892020000000006,0.01951616,0.03400070999999999,0.12346628000000011,-0.004980659999999983,0.0041316600000000005,-0.03267097000000001,0.022953539999999988,-0.030890269999999994,0.01738642000000001,0.03173353,-0.09716978999999998
0.0,0.0,21.0,31.18816,-0.229,32.282975300000004,32.08480719999999,17.023747900000004,32.29838960000001,52.46666919999998,36.29034500000002,18.299556399999986,47.092585600000014,47.041300440000015,0.0,0.0,0.0,0.146139458,0.0504664637507207,2.9578781264999985,0.0018561900000000037,7.1253600000000015,-0.06115790000000001,0.01981214999999996,0.20179999999999995,-0.07591681,-0.054677939999999994,0.04922028999999995,0.05490226999999999,0.04181488,0.0073061900000000075,-0.08950183,0.043449339999999996,0.09400911,-0.08634852000000003,-0.057664719999999996,0.09594079000000004,0.0062697299999999985,0.016884200000000005,0.05510646,0.09519628999999996,0.03596254,-0.11791126999999997,0.01461239,0.018897929999999997,-0.02055694000000001,0.06899256999999998,-0.04549442
0.0,0.0,846.0,3024.54248,0.4032,26.371581199999994,31.343192299999995,14.280632810000007,29.029289,47.037404600000016,34.28931650000002,15.687670899999995,56.0670461,45.3810942,0.01363270728,0.0,0.03387256049,0.58575050814,0.2889421692227491,4.613291678300001,-0.0024893700000000025,9.83397,-0.02943908000000001,0.04494806,0.05799999999999998,0.022015520000000014,0.07434646000000003,0.019847310000000003,-0.06628478,0.006526130000000003,-0.014656009999999995,-0.07111508000000001,0.028589259999999984,0.040701999999999995,-0.08234282000000004,-0.029546679999999978,0.02802875,0.0042577699999999975,0.01503462,0.15413814000000003,0.009796540000000003,-0.024213990000000015,-0.04011992,-0.04720343000000002,0.008038370000000005,0.01382332000000001,0.04259837999999999,-0.08018326000000002
0.0,0.0,30.0,2440.91385,0.2594,23.268092899999992,29.915233100000005,12.416758410000005,30.63379300000001,43.02653149999999,27.785016610000017,14.815845799999991,46.892510500000014,37.68557321000001,0.06484440635000001,0.0,0.01877293319,0.5846846574299999,0.2632646256474876,6.435830904000003,0.03109267000000001,3.22414,-0.004509209999999998,0.037611309999999995,0.13759999999999994,0.038762690000000016,-0.08891498999999996,-0.011370240000000002,0.03787469999999998,-0.25277250999999995,-0.03677375000000002,-0.10146894000000001,0.04047286999999999,0.18934542999999998,-0.1347254,-0.017294289999999993,-0.018119079999999996,-0.14966195,-0.04776687000000001,-0.015653280000000012,-0.4783845400000001,-0.17256092000000003,-0.04469434999999999,0.029450799999999996,-0.08472732000000001,-0.0008796300000000015,-0.06028069000000004,-0.10503640000000003
0.0,0.0,66.0,1631.49769,0.1789,20.526520200000014,26.258703299999997,11.226427700000002,28.235270000000014,42.44580460000001,29.689243000000015,13.2899536,43.08950710000005,36.25613512,0.0,0.0,0.0,0.5720013499399998,0.17340608227654322,3.9359060876000007,-0.03297399,9.001765999999998,-0.024636039999999998,0.029852370000000007,0.004199999999999977,0.038334300000000016,0.06707536000000001,0.04218077999999999,0.05114271999999999,0.06703331000000003,0.0004286799999999971,-0.07236938000000001,0.01058137000000001,0.08266169999999999,-0.10170898999999994,-0.031058339999999993,0.06887404999999999,0.009242590000000002,0.008983250000000005,0.14285285000000006,0.016373730000000003,-0.0021464100000000057,-0.027342529999999986,0.04439003000000001,0.038458960000000014,0.015445980000000015,0.054135029999999994,-0.04810909999999999
0.0,0.0,105.0,86.29137,0.3539,14.64664823,25.07192809999999,11.377051200000006,26.822623000000004,41.47378499999999,28.540983100000016,13.367836000000002,46.31388060000003,39.509315980000004,0.00514240382,0.0,0.0,0.6411873561099997,0.37828197561646315,4.171939840900001,-0.005862810000000004,8.99874,0.00437649,-0.0033331299999999975,-0.36929999999999985,0.03661237999999999,0.06204017000000001,0.04447271999999999,-0.012894000000000001,0.05042126000000002,-0.010707160000000002,-0.07542408000000003,0.012489730000000003,0.026536439999999994,-0.08905943999999998,-0.025812199999999997,0.06528998999999999,0.006073140000000002,-0.01218764,0.07899802999999996,0.01892531000000001,-0.02707749999999999,-0.041808439999999995,0.032575190000000025,0.03824481000000001,-0.014298799999999995,0.05767052999999997,-0.048317769999999996
0.0,0.0,176.0,10.46141,-0.4437,25.985611600000002,30.088926999999998,17.540320170000005,31.11099300000002,44.76642789999998,33.148744100000016,16.218668299999994,46.042799600000016,44.492221949999994,0.027983755000000003,0.0,0.0,0.6460183364,0.5196375618576506,4.277135128700002,-0.005828430000000003,8.374827249999994,0.009841890000000004,-0.002692369999999993,-0.29249999999999976,0.034493079999999995,0.04024126000000001,0.008947320000000005,0.03228116000000001,0.019789300000000003,-0.040359599999999995,-0.07961889000000004,-0.03396045000000002,-0.04039128999999999,-0.08422875000000002,-0.050667959999999984,0.028683740000000006,0.026425850000000008,0.005651460000000006,0.11630882000000009,0.005239160000000005,0.003202040000000006,-0.05726137999999999,-0.03671612,-0.0033695799999999966,-0.02787425999999999,0.02738974000000002,-0.0781181
0.0,0.0,135.0,0.31036,1.0733,74.70027780000004,71.76030800000001,70.12651589,102.47852099999996,67.60691260000003,75.04567800000001,33.64214229999999,216.33503493000003,73.74933350000003,0.02884068172,0.0,0.052265673580000005,0.6985258722699998,0.6209832722582022,8.798915589199998,-0.15137114999999995,9.381862700000001,-0.01763459999999999,-0.08359370999999995,-0.24749999999999994,-0.5059153799999998,-0.27965251000000013,-0.10361187999999996,-0.008744880000000023,-0.17941349000000004,-0.08627446000000003,-0.03458384999999999,-0.04112623,-1.23992236,-1.0537607800000002,-0.05062391999999999,-0.06727306999999999,0.00013113999999999606,-0.07224104999999999,-0.059481610000000025,-0.11085418000000001,0.06923544000000001,-0.09577668,-0.3071501999999999,-0.08260779000000001,-0.05428900999999999,-0.09045150000000002,-0.49051787
