wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Testis_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
198.0,1.0,0.0,587.2068,-0.284,10.9731,10.2313,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448
38.0,0.0,0.0,17.52078,-0.4952,63.1979,43.5993,0.0,0.0,0.0,0.831385493,0.997816207,8.7600131
104.0,0.0,0.0,264.70005,0.3519,42.699628770000025,42.64144319999998,0.0,0.024866597400000003,0.0,0.146139458,0.15946756,3.321620747199999
98.0,0.0,0.0,722.18127,0.2755,23.261622240000012,19.84542010000001,0.009005028830000001,0.01710062852,0.0,0.47800889961000004,0.15881159628477037,4.809461053699997
465.0,0.0,0.0,611.7661,-0.3,15.524190953999998,13.812461970000005,0.06626867961999999,0.03673643152,0.0,0.4904416397100001,0.11138582688779927,3.324873586300001
48.0,0.0,0.0,21.64298,0.4095,29.57500958,35.81235483999999,0.0,0.08351290191000002,0.0,0.5754590659100001,0.3088520740710063,3.877554314499999
159.0,0.0,0.0,1286.87597,-0.4258,24.39475710000001,24.223084000000004,0.02872281324,0.20633760601999998,0.0,0.70201980553,0.5166462507344497,5.522335001599998
56.0,0.0,0.0,169.84402,0.6414,101.60343386599999,53.45831110000001,0.0,0.03181909657,0.0,0.237914741,0.172745644,5.762042060899997
27.0,0.0,0.0,11.5284,0.2613,28.651283699999993,30.756218200000006,0.03240084838000001,0.018629915349999998,0.0,0.7329414389799996,0.66090878125355,6.525664040600001
122.0,0.0,0.0,94.57913,-0.3108,1.98378,30.3377,0.0,0.0,0.0,0.219635889,4.89547e-05,1.70705006
105.0,1.0,2.0,100.43917,0.4266,5.04825,0.837783,0.0,0.363622861,0.0,0.824394882,0.454891016,4.92982383
14.0,0.0,0.0,13.90583,-0.2705,62.462390279999966,77.67103680000001,0.00957427108,0.00994663896,0.0,0.179693475,0.028983163,3.0766907282
147.0,0.0,0.0,187.01280420000003,0.4225,28.47620175999999,21.708216939999996,0.0,0.11715070497000003,0.0,0.6143346419699995,0.428604914548985,4.3877627946999995
26.0,1.0,1.0,1533.87452,0.3577,111.936,191.285,0.0,0.578384088,0.0,0.460647643,0.034533583,25.5898132
49.0,1.0,0.0,3332.8913,0.5474,436.279,17.3382,0.0,0.557884944,0.0,0.139342904,0.049925638,14.6291652
17.0,0.0,0.0,2588.6288,0.3004,0.387028,7.10049,0.0,0.0,0.0,0.146139458,0.039182646,1.99024055
516.0,0.0,0.0,2305.0631,-0.5586,13.7899,19.8891,0.919866211,0.0,0.0,0.713784814,8.21839e-07,5.85157295
229.0,0.0,0.0,162.29015,0.327,13.8663,15.6409,0.0,0.0,0.0,0.300877631,5.09138e-07,0.0
53.0,1.0,0.0,35.43011,-0.4331,13.6358,17.3962,0.0,0.0,0.0,0.767620981,0.999997542,11.67800063
256.0,0.0,0.0,7.94254,-0.3397,0.0,0.104658,0.021891906319999998,0.0,0.0,0.111908376,0.166948561,2.668197057700001
34.0,0.0,0.0,463.55581,0.3715,12.8761,2.21285,0.0,0.358930757,0.0,0.79961127,0.337855764,12.5785497
14.0,1.0,0.0,2261.17843,0.2663,0.235617,0.793846,0.0,0.0,0.0,0.7969836,0.946719308,9.78859286
49.0,0.0,0.0,851.7939141999999,-0.1845,39.945759003999996,53.12268,0.02566023695,0.00477882401,0.0,0.17792584,4.99768e-06,4.6308710683999985
