Gene,XGB_Score
HOXB6,0.7726437449455261
NCOA7,0.772595226764679
FGR,0.7719656229019165
MTAP,0.7719384431838989
PPM1E,0.7717207670211792
CMIP,0.7714022397994995
SYT8,0.7712255716323853
RCC1,0.7711673378944397
LIN7B,0.7711635231971741
FHL5,0.7710689902305603
CREBRF,0.7706166505813599
TNRC6B,0.7706166505813599
SAPCD1,0.7703531980514526
IRF5,0.7702939510345459
YOD1,0.769882082939148
PAPPA2,0.7696885466575623
RNF11,0.7694317698478699
RAPGEF5,0.7692340016365051
MRAS,0.7688493132591248
ZBTB20,0.7688285112380981
TLN1,0.7687696814537048
NTN4,0.7683420181274414
FER,0.7683363556861877
MLXIP,0.7683121562004089
MFSD1,0.768299400806427
KANSL3,0.7679990530014038
THADA,0.7673014402389526
NCOR2,0.7670131325721741
BCAS3,0.7667974829673767
MACF1,0.7663379311561584
SYNPO2,0.7663257718086243
PIK3C2B,0.7662001252174377
C17orf75,0.7659118175506592
MORC3,0.765845000743866
UBA2,0.7657244205474854
ABCC8,0.7656696438789368
RERE,0.7656373977661133
CHD3,0.7655139565467834
CBWD1,0.7648627758026123
ITGA1,0.7647492289543152
COBLL1,0.7646642327308655
SOS2,0.7646520137786865
BAG4,0.7644385695457458
ATG13,0.7642518877983093
HBP1,0.7641391754150391
SETBP1,0.763656497001648
MED13L,0.7636318802833557
HIVEP2,0.7636318802833557
CCT2,0.7636070251464844
GDI2,0.7636070251464844
DNAJC5,0.7636070251464844
PLK2,0.7635339498519897
RGS6,0.7634347677230835
MCRS1,0.7632149457931519
HARS2,0.7630767822265625
HARS,0.7630599737167358
XPO1,0.7629929780960083
VPS54,0.7628655433654785
FGFR1,0.7627643942832947
TMEM165,0.7627495527267456
EHBP1L1,0.7626258134841919
FBXL19,0.7625263929367065
CYP20A1,0.7624048590660095
BANP,0.762249231338501
LIN54,0.762249231338501
PNPT1,0.7621521949768066
CDC16,0.7621078491210938
LDB1,0.7621078491210938
SYT1,0.7620024085044861
PITPNM2,0.7618740797042847
ZNF618,0.7618497014045715
UBE2E3,0.7615795135498047
RNF130,0.7610113620758057
ACVR2A,0.7607496976852417
RELA,0.7600714564323425
SPC25,0.7600659132003784
UBE2I,0.759946882724762
CBX1,0.759946882724762
PRKD3,0.7597483992576599
ICMT,0.7596899271011353
SGSM3,0.7596539855003357
MAPK4,0.7592045664787292
RNF123,0.7591331601142883
IGFBP7,0.7590970993041992
FUT10,0.7590598464012146
TBX2,0.7590587735176086
RBMS3,0.7589646577835083
FBXW2,0.7588602304458618
ARHGAP29,0.7585310935974121
PHF23,0.7584198117256165
CDC25A,0.7582420110702515
SGIP1,0.7579975724220276
UGP2,0.7579852938652039
DND1,0.7578557729721069
ADO,0.7576796412467957
ECD,0.7569677233695984
GOSR2,0.7568826079368591
DIP2A,0.7566627860069275
MAP2K2,0.756563127040863
SHROOM3,0.7564197778701782
SLCO3A1,0.7560193538665771
COL27A1,0.7558419704437256
AHDC1,0.7557267546653748
CAPZA1,0.7555093765258789
AKAP13,0.755473792552948
TLN2,0.7554212808609009
WDR7,0.7553364038467407
FNBP4,0.7549924850463867
VWA8,0.7548326849937439
FAM208A,0.754759669303894
GPATCH8,0.754759669303894
CDH13,0.7543648481369019
CBFA2T2,0.754348635673523
DUSP2,0.7542232275009155
FBXO17,0.7540729641914368
RNF126,0.7539489269256592
VARS,0.7539489269256592
RBFOX1,0.7538604140281677
DNAJC11,0.7538578510284424
