Gene	interactors
MRPL54	ACP1, AIP, AURKAIP1, BRIP1, C17orf89, DAP3, FAM50B, GADD45GIP1, ICT1, MALSU1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS30, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFAB1, POLR3A, PTCD3, RPL13, RPS12, SUGCT
MRPL55	FLOT1, HNRNPM, ICT1, ILF2, ILF3, MGST3, MPP4, MRPL10, MRPL12, MRPL13, MRPL15, MRPL2, MRPL22, MRPL23, MRPL27, MRPL28, MRPL3, MRPL32, MRPL35, MRPL37, MRPL39, MRPL4, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL52, MRPL9, MRPS30, MRPS9, RPL13, RPS23, TOMM40
MRPL9	ACP1, AIP, AURKAIP1, BRIP1, C6orf203, C6orf57, DAP3, DDX28, DLD, EIF4H, GAA, GADD45GIP1, GANAB, HNRNPA1, HSPD1, ICT1, ILF3, MALSU1, MPP4, MRP63, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL55, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS30, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFAB1, NSF, PLBD2, PTCD3, RPL13, RPS12, RPS8, SCFD1, SLC25A10, SLC25A3, THAP9, TMEM177, TRMT61B, YBX1
MRPS10	AIP, AURKAIP1, BRIP1, C1QBP, CISD3, DAP3, GADD45GIP1, HIF1AN, ICT1, ILF3, MOV10, MPP4, MRP63, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFS3, PTCD3, RPL11, RPL13, RPL23A, RPL9, RPS12, RPS18, RPS2, RPS5, RXRB, SDHB, TRA2A, TRMT10B, TUFM, XRN2, ZBTB48, ZC3H3, ZNF707
MRPS11	AIP, AURKAIP1, BRIP1, DAP3, DDA1, DDX55, DRAP1, E4F1, GADD45GIP1, HNRNPR, ICT1, MCAT, MRP63, MRPL10, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NAA16, NAT2, NOA1, NOL12, PCMTD1, PCMTD2, PGD, PTCD3, RPL13, RPL23, RPL6, RPL9, RPS12, RPS2, RPS23, RPS26, RPS8, SAMM50, STRBP, TPD52, TRA2A, TRMT10B, TRMT61B, WDTC1, ZBTB48, ZC3H3, ZNF707
MRPS12	AIP, ATP5J2, AURKAIP1, BRD1, BRIP1, BRPF1, BTRC, C1QBP, DAP3, DDX55, DKK3, DLG1, FAM92A1, FBXW11, GADD45GIP1, GRSF1, HNRNPU, HNRNPU-AS1, ICT1, IGF2BP1, ILF2, MCAT, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOA1, PTCD3, RPL13, RPL6, RPS3, SPINK7, TRMT10B, ZBP1, ZBTB48, ZNF707
MRPS14	AIP, AURKAIP1, BRD1, BRIP1, BRPF1, COX15, DAP3, FLOT2, GADD45GIP1, ICT1, ILF3, MPP4, MPV17, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, RPL13, RPL23, RPL6, RPS12, RPS15A, RPS2, SLC25A10, TRA2A, TRMT10B, TRMT61B, TUFM, YBX1, ZC3H3, ZFC3H1
MRPS15	AIP, AURKAIP1, BRIP1, COQ2, COQ4, DAP3, GADD45GIP1, GRSF1, ICT1, MCAT, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOA1, PRKACG, PRKAR1B, PTCD3, RPL13, RPS12, STRBP, TRA2A, TRMT10B
MRPS16	AARS2, ADCK3, AIP, ATXN10, AURKAIP1, BRIP1, C6, COQ4, COQ5, DAP3, FAM136A, FAM50B, GADD45GIP1, HNRNPDL, HNRNPR, HNRNPU, HNRNPU-AS1, ICT1, MCAT, MPV17, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PSMA5, PSMA7, PSMC1, PSMC2, PSMD7, PTCD3, RPL13, RPS12, SSBP1, TRMT10B, TRMT61B, ZP3
MRPS17	AIP, AURKAIP1, BRIP1, DAP3, ECSIT, GADD45GIP1, ICT1, KIFAP3, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS30, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, RPL13, RPS12
MRPS18A	ACP1, AIP, AURKAIP1, BRIP1, BTRC, DAP3, FBXW11, GADD45GIP1, HNRNPA1, ICT1, MALSU1, MRP63, MRPL1, MRPL10, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS30, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFAB1, PTCD3, RPL13, RPL6, RPS12, TRMT61B, ZNF317
MRPS18B	AIP, AURKAIP1, BRIP1, DAP3, EWSR1, EXOSC6, FUS, GADD45GIP1, HNRNPAB, ICT1, KARS, LST1, MRP63, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, MYH9, PTCD3, QARS, RB1, RNF157, RPL13, RPS12, TRA2A, TRMT10B, UBR5
MRPS18C	AIP, AURKAIP1, BRIP1, CCDC59, DAP3, GADD45GIP1, HSPD1, ICT1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOL12, PPTC7, PRELID1, PTCD3, RPL13, RPL6, RPS12, TRA2A, TRMT10B, ZBTB48, ZNF707
MRPS2	ACTA2, AIP, AURKAIP1, BRIP1, C1QBP, DAP3, E4F1, ERAL1, FASTKD3, GADD45GIP1, GRSF1, HSD17B8, ICT1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, OGDH, PTCD3, RBM42, RNF157, RPL13, RPL6, RPS12, SSBP1, TPD52, TPD52L2, TRA2A, TRMT10B, TRMT61B, ZBTB48, ZC3H3, ZNF133, ZNF707
MRPS21	AIP, AURKAIP1, BRIP1, DLD, HNRNPR, KCTD10, LAMTOR2, LDHD, MOV10, MRPL2, MRPL36, MRPL37, MRPS11, MRPS12, MRPS15, MRPS27, MRPS31, MRPS34, MRPS5, MRPS9, MYL12A, NDUFAF3, NDUFS2, PET112, PSMC1, RPL6, RPLP2, RPS21, TRA2A, TRMT10B
MRPS22	AIP, AURKAIP1, BRIP1, BTRC, C1QBP, DAP3, FAM192A, FASTKD3, FBXW11, GADD45GIP1, GBA2, GRSF1, ICT1, LST1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, QARS, RPL13, RPL6, RPS12, RPS8, SHD, TMEM126A, TP53, TRA2A, TRMT10B, YBX1, ZC3H3, ZNF707
MRPS23	AIP, AURKAIP1, BRIP1, C1QBP, DAP3, E4F1, GADD45GIP1, HSD17B8, ICT1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, QARS, RPL13, RPL6, RPS12, TRA2A, TRMT10B, ZFC3H1, ZNF133, ZNF331, ZNF707
MRPS24	AIP, AURKAIP1, BRIP1, DAP3, GADD45GIP1, ICT1, LNX1, MMADHC, MPDZ, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, RPL13, RPL6, RPS12, TRA2A, TRMT10B, TUBGCP4, ZNF707
MRPS25	AIP, AURKAIP1, BRIP1, C1QBP, DAP3, GADD45GIP1, GRSF1, HNRNPAB, ICT1, KIFAP3, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOL12, PET112, PTCD3, RPL13, RPS12, RPS8, TRA2A, TRMT10B, TRMT61B, ZC3H3, ZNF707
MRPS26	ABCC2, AIP, AURKAIP1, BRIP1, C1QBP, CPS1, DAP3, DYNLRB1, GADD45GIP1, GATC, GRSF1, HNRNPA3, HNRNPR, ICT1, ILF2, LM MGST3, MRP63, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NCL, NDUFB5, NIFK, NOL12, PTCD3, RBM42, RPL13, RPL6, RPS12, RPS8, SLC25A3, SNRNP70, SRSF9, TRA2A, TRMT10B, TSR1, ZNF707, MGST3, LM MRPS18C
MRPS27	AIP, AURKAIP1, BTRC, C1QBP, C8orf82, CDK9, DAP3, FBXW11, GRSF1, HNRNPA1, ILF3, KHDRBS2, METTL17, MPP4, MRPL12, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS7, MRPS9, NECAB2, NOA1, PTCD3, RIOK2, RPL6, STRBP, TRA2A, TRMT10B, YBX1, ZNF707
MRPS28	ABCC2, AIP, ATP1B1, ATP6V1C1, AURKAIP1, BRIP1, C16orf80, C17orf89, C1QBP, C21orf33, CDV3, COQ4, COQ5, DAP3, GADD45GIP1, GRSF1, HES1, HNRNPM, HNRNPR, HNRNPU, HNRNPU-AS1, ICT1, ILF2, ILF3, LAMTOR3, LRPPRC, MDH2, MPP4, MRP63, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFA7, NDUFB6, NDUFB9, NPC1, PET112, PGD, PTCD3, RBM27, RPL13, RPLP1, RPS12, RPS19, RPS28, RRP1, SCP2, SLC1A5, SLC25A10, SNRPG, SRPRB, SYNCRIP, TIAL1, TRA2A, TRMT10B, TRUB2, YBX1, ZC3H18, ZC3H3
MRPS30	ACP1, AIP, ARMC8, AURKAIP1, BRIP1, C1QBP, DAP3, DDX28, ELAC2, GADD45GIP1, ICT1, MALSU1, MEX3C, MRP63, MRPL1, MRPL10, MRPL11, MRPL12, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL52, MRPL53, MRPL54, MRPL55, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS28, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NDUFAB1, PTCD3, RNMTL1, RPL13, RPL6, RPS12, RPS8, SLC25A3, TRMT61B, ZMYND19
MRPS31	AIP, AURKAIP1, BRIP1, C16orf80, CCDC59, CPSF7, DAP3, E4F1, FASTKD3, FLOT1, GADD45GIP1, GRSF1, HNRNPR, ICT1, LYST, MAST3, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS33, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOL12, PTCD3, RBM42, RPL13, RPL6, RPS12, RPS8, SARNP, SNRNP70, SRPRB, TRA2A, TRMT10B, YBX1, ZBTB48, ZC3H3, ZFC3H1, ZNF331, ZNF707
MRPS33	AIP, AURKAIP1, BRIP1, CARF, CDKN2AIP, CISD3, COQ10A, DAP3, GADD45GIP1, ICT1, MRP63, MRPL11, MRPL13, MRPL14, MRPL15, MRPL16, MRPL17, MRPL18, MRPL19, MRPL2, MRPL20, MRPL21, MRPL22, MRPL23, MRPL24, MRPL27, MRPL28, MRPL3, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL4, MRPL40, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL51, MRPL53, MRPL54, MRPL9, MRPS10, MRPS11, MRPS12, MRPS14, MRPS15, MRPS16, MRPS17, MRPS18A, MRPS18B, MRPS18C, MRPS2, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS30, MRPS31, MRPS34, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, PTCD3, RPL13, RPL6, RPS12, TRA2A, TRMT10B, TRMT61B, ZBTB48, ZC3H3, ZNF707
MRPS34	ATP5J2, BRD1, BRPF1, BTRC, C1QBP, DAP3, DDX55, DLG1, FAM92A1, FBXW11, GRSF1, HNRNPU, HNRNPU-AS1, IGF2BP1, ILF2, MCAT, MRPS10, MRPS11, MRPS14, MRPS15, MRPS16, MRPS18B, MRPS18C, MRPS2, MRPS21, MRPS22, MRPS23, MRPS24, MRPS25, MRPS26, MRPS27, MRPS28, MRPS31, MRPS33, MRPS35, MRPS5, MRPS6, MRPS7, MRPS9, NOA1, PTCD3, RPL6, TRMT10B, ZBP1, ZBTB48, ZNF707
