Gene	interactors
ABCD3	ABCD2, AGPS, AMN, ATP6V1C1, C15orf48, C17orf89, COL6A2, COQ9, COX6B1, DHX9, EEF2, FAF2, FKBP7, IL23A, LACC1, MPV17, MRPL27, NDUFA4, NDUFAF4, NDUFS4, NDUFV1, NNT, OCIAD1, OPA3, PEX10, PEX11B, PEX12, PEX13, PEX14, PEX16, PEX19, PEX26, PEX3, PPIB, PXMP4, SLC25A17, STOM, SURF1, SYNJ2BP, TAP1, TIMMDC1, TOMM40, ZNF454
ABCD4	FSHR, PDGFRB
ABCE1	AP1B1, CLIP4, DCP2, DIABLO, EIF3F, EIF3H, EIF3J, ERF, ETF1, GNB2L1, LBP, PTER, RNASE2, RNASEL, RPL11, RPL12, RPL15, RPL17, RPL17-C18orf32, RPL19, RPL21, RPL22, RPL23, RPL23A, RPL24, RPL26, RPL27, RPL30, RPL32, RPL34, RPL37, RPL37A, RPL38, RPL4, RPL7, RPL7A, RPL8, RPS10, RPS10-NUDT3, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS16, RPS18, RPS19, RPS21, RPS23, RPS24, RPS25, RPS26, RPS27, RPS27A, RPS28, RPS3A, RPS5, RPS6, RPS7, RPS8, RPS9, RPSA, SEC61B, UBA52, UBASH3A, UBC, VAPA, VAPB, XRCC5
ABCF1	C14orf166, CDC5L, DDX1, DHX9, DIMT1, EDC4, EIF2B2, EIF2B3, FKBP3, FMNL1, HNRNPA0, HNRNPM, HNRNPU, HNRNPU-AS1, IGF2BP3, ILF2, IMP3, KDM1A, MAP2, MRE11A, NEURL4, NMT1, RFC4, RPGRIP1L, RTCB, SPAG6, SUB1, UBXN7, YBX3
ABCF2	ABCF3, ACAD9, AHCYL1, AHCYL2, CCNL2, CLUH, DDX18, DNAJA2, EFTUD1, EIF3A, EIF5B, FAF2, GBF1, GNL1, MTHFD1, NAT10, NOP56, NUDCD1, POLR1C, POLR1E, PPP1R10, PTGES2, RPL6, SIRT6, UPF2, WDR36, ZC3H15
ABCF3	ABCF2, ATP6V1B2, CDC5L, FCHSD2, INTS2, NLRP9, PSME3, UPF1
ABCG1	ABCG4, ABCG5, NEDD4, RPF1
ABCG2	BANF1, BCRP1, PCDH7, PIM1, UBC
ABCG4	ABCG1
ABCG5	ABCG1, ABCG8
ABCG8	ABCG5, CD320, MESDC2, NOTCH3, PTPRD, TMEM184B, TSPAN3
ABHD10	ARL3, CISD3, FOXK1, FOXK2, INPP5K, KCMF1, NME4
ABHD11	ACAD8, ACN9, BOLA1, BOLA3, C1QBP, CBR1, CHCHD2, CHCHD4, DHRS4, ECH1, FAS, HOGA1, IDE, MRP63, NME4, NT5DC2, NUCB2, PGM1, PMPCB, POLD4, POLDIP2, SHMT2, XPNPEP3
ABHD12	CPVL, DPP9
ABHD12B	CD58
ABHD14A	A4GALT, A4GNT, BZW2, ECHS1, EIF3A, EIF6, GABRG2, GINS3, GSS, HDAC10, HSPA9, PAFAH1B2, PFAS, PPP5C, RAP1GDS1
ABHD14A-ACY1	ACY1
ABHD14B	EXOSC10, ITGA2, MAP3K5, PSEN2, TKT, WASL
ABHD15	BAG5, DNAJB4, HSPA2, HSPA6, STIP1, STUB1, WTAP
ABHD16A	AGPAT3, ATP5G3, CYP1A2, DFFA, DNAJC1, FAM134C, FDPS, GPRC5C, HM13, HNRNPA1, HTR3C, IFITM3, LTA, MCOLN3, PILRB, PTGS2, RNF5, SAFB, SCNN1D, SLC39A7, SPAG7, TBC1D9, TMEM147, TMEM222, UPF1
ABHD17A	HPGDS, LPAR6, TCTEX1D2, VPS28
ABHD17B	A4GALT, FAF2, SFTA2, TRIM16L
ABHD3	IL17RC, KLK15, MAS1
ABHD4	AIP, AURKAIP1, REEP5
ABHD5	ADCK3, GRIA4, HMOX2, KDM4A, NRAS, PLIN1, PLIN2, PLIN3, PNPLA2, SKAP2, SLC44A3, SNRK, TMEM38B, TMEM66, TPD52L2, TRIM59, ZNF259
ABHD6	FIS1, FSHR, NCS1, PCDHA3, SCAMP4
ABHD8	LMO2
ABI1	ABI2, ABL1, ABL2, AMZ1, APBB1, BAIAP2, CAMK2D, CBL, CBLB, CBLC, CDC123, CDH23, CGB2, CRK, CRKL, CTTN, CYFIP1, CYFIP2, EIF3H, ENAH, EPS8, EPS8L1, EPS8L2, EPS8L3, EVL, FER, FES, FGR, FRK, FYN, GAS7, GRB10, GRB2, HCK, HGF, HSPA8, INPPL1, ITGA4, ITK, KIAA1522, LCK, LHX4, LYN, MINK1, NCK1, NCK2, NCKAP1, NCKAP1L, NEB, NFASC, NIN, NXN, ODF3L2, PAK2, PIK3R1, PIK3R2, PIK3R3, PLCG1, PRKAA1, PRPF40A, RASA1, RBM15, RXFP2, RYK, SF3A3, SLK, SOCS4, SOCS6, SOCS7, SOS1, SOS2, SPEN, SPTA1, SPTAN1, SRA1, SRC, SSB, T, TCERG1, TIMM50, UBXN11, VARS2, VASP, VAV1, VAV2, WASF1, WASF2, WASF3, WASL, YES1, ZNF511
ABI2	ABI1, ABL1, ABL2, ADAM19, AMZ1, APPL2, BRK1, CAMK2D, CASKIN2, CBLC, CCDC36, CGB2, CYFIP1, CYFIP2, DTNB, EIF3H, ENAH, HOMER3, IKBIP, KIAA0355, KIAA1522, LARP4, LHX4, MRPL44, NCK2, NCKAP1, NCKAP1L, NHSL1, NLGN1, PCDH10, PCDH17, PCM1, PRR16, RAC1, RAPH1, SRA1, TIMM50, TPM1, TRIM32, UBXN11, VARS2, VPS37C, WASF1, WASF2, WASF3, WASL, ZNF511
ABI3	ABI3BP, CENPQ, CEP44, CYFIP2, ENAH, EVL, FARSA, HGF, NUPL1, PAK1, PAK2, RUNX1, RUNX1T1, SNAP23, SOS1, TMEM147, VARS2, WASF2
ABI3BP	ABI3, TFG
ABL1	ABI1, ABI2, ABL2, ACTA1, ADAM15, ANKRA2, AP2A1, AP2B1, AP2M1, APBB1, APP, ARHGAP17, ATM, ATR, BCAR1, BCL2L1, BCR, BDP1, BIN1, BMP2K, BRCA1, C3, C6, CABLES1, CABLES2, CAP1, CASP9, CAT, CAV1, CBL, CBLB, CCND2, CD19, CDK1, CDK5, CDKN1A, CDKN1B, CDON, CREB1, CRK, CRKL, CTNNB1, CTNND2, DDB1, DDB2, DOK1, DOK2, DOK3, DRG1, EEF1G, EGFR, EIF2A, ENAH, EP300, EPHA3, EPHB2, EPS15, ERBB2, ERBB3, ERBB4, EVL, EWSR1, FGFR1OP, FN1, FOS, GCKR, GPX1, GRAP2, GRB10, GRB2, GRIN2D, GTF2F1, HCK, HCLS1, HGF, HIPK2, HSP90AA1, HSPA4, HSPD1, HSPE1, INPPL1, ITGB2, JAK1, JAK2, JUN, KIT, LARS, LATS2, LRRK1, MAP4K1, MAP4K5, MAPT, MAVS, MBP, MDM2, MDM4, MED25, MICAL1, MSH4, MSH5, MST1, MTOR, MUC1, NAA25, NARG2, NARS, NCK1, NCOA3, NCSTN, NEDD9, NFKBIA, NTRK1, PAFAH1B1, PAG1, PAK2, PAK4, PARK2, PARK7, PC PDE4D, PEMT, PFDN4, PIK3R1, PIK3R2, PKD1, PLCG1, PLSCR1, PNMT, POLR2A, PPM1B, PRDX1, PRKCD, PRKCZ, PRKD1, PRKDC, PSMA4, PSMA7, PSMD4, PSTPIP1, PTGES3, PTPN1, PTPN12, PTPN18, PTPN6, PXN, RAC3, RAD51, RAD52, RAD9A, RALBP1, RAN, RAPGEF1, RASA1, RB1, REPS1, RFX1, RIN1, ROBO1, ROS1, RPLP1, RPS21, RPS6KB1, RRP1, RTFDC1, RWDD2A, RYBP, SFN, SH3BP1, SH3BP2, SHB, SHC1, SHD, SHE, SLC33A1, SLC9A2, SNCA, SOCS1, SOCS3, SORBS1, SORBS2, SORBS3, SOS1, SOS2, SPAG9, SPRR2A, SPTA1, SPTAN1, SRC, SRPK2, ST5, STAT5A, STK4, STON2, STUB1, TDPX2, TERF1, TERT, TLN2, TMPO, TOP1, TOPBP1, TP53, TP73, TRAF6, TRAM1, TUB, UBASH3B, UBC, USP7, VAV1, WASF1, WASF2, WASL, WRNIP1, XPO1, XRCC6, YAP1, YTHDC1, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZAP70, ZDHHC16, PDE4D, PC SOCS3
ABL2	ABI1, ABI2, ABL1, AXL, BAG5, BCR, BDP1, C6, C6orf25, CASS4, CAT, CAV1, CD84, CRK, CTTN, DOK1, EGFR, EPHB2, ERBB2, ERBB3, ERBB4, GPX1, GRB2, HCK, HRAS, HSPBP1, JAK1, KRAS, MDM2, MED28, NCK1, NCK2, PIK3R3, PSMA7, PTPN18, RIN1, SIVA1, SKIV2L, SORBS2, STAT3, TRIP10
ABLIM1	ABRA, ACTB, ACTG1, BCMO1, CYB5D2, KCNJ12, LIN7C, MYO18A, MYO1C, NMI, NMT1, PTPRD, SEPSECS, SFXN4, SLA, SYNPO, ZMYM1
ABLIM2	ABRA, ACTA1, AHNAK2, ATP6V0A1, FOXK1, FOXK2, LIN7C, MLIP
ABLIM3	ABRA, ACTA1, ACTC1, C11orf73, PALMD, SNW1
ABO	GRAMD3, TMEM79
ABR	ADRA1A, TOMM20
ABRA	ABLIM1, ABLIM2, ABLIM3, ACTA1, ACTB, ACTC1, PPP1R18
ABRACL	ACP1
ABT1	CA10, FBL, FTSJ3, KRR1, MAB21L3, NAP1L5, RNF151, TBP
ABTB1	CARS, CUL3, DNTTIP1, EEF1A1, EEF1A2, EEF1D, VARS, VARS2, ZBTB21
ABTB2	CUL3, DNTT, EEF1A1, HS1BP3, RBX1, TCTEX1D2
AC004381.6	DQX1, UBA5, WDR55
ACAA1	C6orf226, CAT, CD14, CDK12, COQ9, COX6B1, DBP, DDX39B, FEM1A, HAT1, HSD17B4, KHDRBS2, MRPL53, MTHFD2, NDUFA2, NDUFA7, PEX5, PEX7, PPIB, RPS19, SARNP, SBDS, SCP2, SDS, SF3B4, SRPRB, SUGP1, TRAPPC5, TRAPPC9, VDAC3, ZDHHC5
ACAA2	ACAT1, ACO2, AK2, ALDOA, ARMC6, ATP1B1, ATP1B3, BNIP2, CAPZB, CCDC8, CD164, CFL1, CHAT, CRP, CSRP1, CXCR2, ENO1, EVI5, EWSR1, EXOC6, EZR, FASTKD3, FKBP2, HNRNPA1, HNRNPA2B1, ISYNA1, LARS2, LRRC39, MTIF2, MYL2, MYO18A, NEURL4, PDF, PFN1, PGD, POFUT1, POR, PRDX1, PREPL, RAB11A, RAB11B, RAB11FIP2, RAB25, RAB3B, RAB8A, RDX, RTN4, SAR1A, SCP2, SF3B4, SFXN4, SH3PXD2B, SMAD3, SSH1, STX3, TAF15, TAGLN, TAGLN2, TAX1BP3, TBC1D30, TDPX2, TERT, TIAL1, TKT, TMEM65, TMOD1, TOMM40, TP53BP1, TRMT61B, UCHL3, USP8, VAMP2, VDAC1, VDAC2, ZFR
ACACA	AKR1B10, AP2M1, APOC1, ARL1, BRCA1, C15orf48, C17orf89, C20orf195, CA9, CBL, COPB1, COQ9, CSNK2A1, CSNK2A2, CSNK2A3, DHFRP2, EPB41L1, FGF14, GPR3, IARS, IKBKAP, INPPL1, NARG2, NDUFA4, NDUFAF4, NUP50, OAS2, PIK3R2, PRKAA1, PRKAA2, PRKAB1, PRKAG1, PSG1, PSG4, PSG9, PSMB2, PSMC6, PSMD2, RPN1, SGCZ, SHC1, SIK2, SP1, UBASH3B, UBE2N
