,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
201,6.81046,13.8141,10.9117,30.7394,37.1872,45.2714,11.4924,30.516,24.5987,32.7693,48.8024,21.0353,0.0,0.0,0.0,0.0,44.0892,24.2707,8.04966,35.3313,30.6156,0.774626613,0.999967222421856,4.5569289,98.27185,-0.6,8.44859,48.0,11.0178,2
202,12.539,31.2335,45.7947,52.1383,72.3764,74.5182,33.97,33.4018,47.7161,51.3819,39.4245,10.3464,0.0,0.0,0.0,0.0,116.657,63.82,27.8816,53.6743,91.6779,0.328141659,0.0300953472407302,0.0,3.58338,0.01,11.3741,4.0,30.3232,2
203,0.845537,1.35619,0.614042,1.93861,5.87503,2.81174,0.42736,1.28507,1.16776,2.26319,22.0009,0.310077,0.0,0.0,0.0,0.0,46.2725,0.376786,3.63869,0.823455,0.694556,0.627284646,0.999999324603711,4.94545355,4503.08544,-1.05,9.25692,16.0,11.4695,2
206,9.78626,28.9192,18.749,24.8343,37.4746,36.5002,20.4691,43.8296,28.8139,26.8734,31.171,4.93498,0.0,0.0,0.0,0.0,61.1022,32.4666,14.457,18.3173,22.0299,0.248114496,0.0002928545818161,2.91175009,335.79652,0.51,10.328,2.0,66.0821,2
207,14.9318,9.86744,7.88553,18.1698,10.0338,7.02369,6.74843,12.7614,7.63795,11.6007,9.24214,6.93678,0.0,0.0,0.0,0.0,17.632,40.6525,10.4147,16.6201,5.83146,0.72829324,0.996854727820052,12.8354372,29.93649,-0.23,8.95343,0.0,24.3448,2
209,1.05467,1.40562,0.554048,3.94691,3.92349,12.1587,0.880484,2.90116,2.53392,8.6618,11.3022,0.0883118,0.0,0.0,0.0,0.0,60.4116,2.01206,19.5925,0.0861119,13.4954,0.673830509,0.0002846277169503,8.88555171,101.01814,-0.71,8.30292,10.0,8.61492,2
210,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
211,0.0150021,5.4453,0.0244652,0.0801423,0.077015,0.186186,0.00905846,0.0770165,0.338018,0.734941,1.42864,0.0599091,0.415747574,0.0,0.0,0.0,2.76816,0.0303358,6.63793,0.350833,0.0076309,0.58360827,3.46014603004443e-05,5.9491256,3359.54974,0.1,1.59976,0.0,14.358655849999996,2
214,2.97665,7.83758,3.69256,10.4942,14.996,14.0215,4.343,7.75802,10.4086,11.7756,15.7986,3.4755,0.0,0.0,0.0,0.0,37.0437,8.94006,28.6903,2.48776,8.80628,0.672696948,0.980548236291021,8.79959867,1186.85367,-0.4,7.13433,3.0,7.86601,2
215,0.0,0.0,0.0,1.15807,0.0,0.0,0.0,0.0,0.0761375,0.104562,0.0716091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221612,0.146144,0.303006142,0.803849286352491,2.91628614,2225.33403,0.41,9.88441,2.0,24.6107756,2
