wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI,Gene,BPlabel
17,0,0,2588.6288,0.3004,0.387028,0.039397,0.123817,0.153082,0.901954,7.10049,0.042907,0.114393,0.0,0.0,0.0,0.0,0.146139458,0.039182646,1.99024055,ARMS2,probable
516,0,0,2305.0631,-0.5586,13.7899,10.2855,12.5871,10.3198,36.2916,19.8891,8.24624,12.3718,0.796268,0.919866211,0.0,0.0,0.713784814,8.21839e-07,5.85157295,ARVCF,probable
229,0,0,162.29015,0.327,13.8663,18.9868,9.71495,25.1198,12.5933,15.6409,411.564,7.14896,2.02104,0.0,0.0,0.0,0.300877631,5.09138e-07,0.0,AS3MT,probable
53,1,0,35.43011,-0.4331,13.6358,4.43631,4.67109,4.65923,16.7378,17.3962,5.07738,17.9042,38.9581,0.0,0.0,0.0,0.767620981,0.999997542,11.67800063,ATP2B1,probable
256,0,0,7.94254,-0.3397,0.0,0.068652,0.0441233,0.0123188,0.0714729,0.104658,0.0749394,0.0,0.0855784,,,,0.111908376,0.166948561,,ATP5L2,least likely
34,0,0,463.55581,0.3715,12.8761,1.97808,2.66198,0.454302,5.81123,2.21285,0.591067,4.23468,49.6889,0.0,0.358930757,0.0,0.79961127,0.337855764,12.5785497,BCL2,probable
14,1,0,2261.17843,0.2663,0.235617,0.0856405,0.101613,0.0434151,1.20793,0.793846,0.146828,0.931821,0.0564419,0.0,0.0,0.0,0.7969836,0.946719308,9.78859286,BDNF,probable
49,0,0,,-0.1845,,,,,,,,,,,,,0.17792584,4.99768e-06,,C1orf192,least likely
202,0,0,,0.5132,,,,,,,,,,,,,,,,C21orf90,least likely
241,0,0,,-0.3624,,,,,,,,,,,,,,,,C6orf123,least likely
528,1,1,5.07717,0.3445,0.0593618,0.0275618,0.0376693,0.0,0.149415,1.35608,0.0314759,3.15717,0.0,0.0,0.0,0.0,0.836621523,0.775375974,0.0,CA7,probable
22,1,0,257.23512,1.2559,6.48269,11.0358,1.1799,0.202653,8.29414,4.61596,0.91873,2.27168,0.0310554,0.0,0.499434067,0.0,0.693781972,0.999998433,6.87689431,CACNA1C,most likely
662,1,1,728.73949,0.5555,4.79846,0.547019,1.40566,0.917359,11.1441,3.00258,8.35908,0.91449,0.730862,0.900502883,0.49080455,0.0,0.693386316,1.0,3.74177141,CACNA1D,most likely
