wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
465.0,0.0,0.0,611.7661,-0.3,154.7023260000001,91.21122499999996,92.61685600000014,89.71751010999995,108.66459560000001,84.11096920000004,95.37063900000004,49.06540159000001,98.17375754799995,0.05687638423,0.01782157415,0.0,0.6557828265599995,0.5373607933409432,10.637272698799995
48.0,0.0,0.0,21.64298,0.4095,209.06511099999997,85.48793999999994,86.62473300000006,90.69217330000004,129.3742410000001,90.30505600000002,93.08347200000001,43.5521426,212.33558349999979,0.01857929991,0.11237207227000003,0.0,0.6647860868199998,0.5049353378600004,8.709297172199998
159.0,0.0,0.0,1286.8759699999996,-0.4258,151.43316500000003,82.22128999999995,81.9423720000001,81.95792510999996,108.5185996,73.95790420000003,80.45781000000007,48.56771639999999,98.73386293999998,0.01857929991,0.13328914547,0.0,0.6556932125999998,0.49962945825854327,9.864806866399995
56.0,0.0,0.0,169.84402,0.6414,62.43815620000005,57.72302499999998,46.96518400000003,35.769192909999994,48.853230999999994,64.54139019999998,55.78846199999999,34.78239990000001,46.098914090000015,0.01914854216,0.02785660831,0.0,0.237914741,0.17274564399999998,5.809449706899995
27.0,0.0,0.0,11.5284,0.2613,217.51467499999998,91.06807099999995,94.5590510000001,98.16339699999999,138.3275498000001,96.28118860000004,96.36006320000004,48.574754600000006,208.0940997999999,0.034665265779999996,0.033261279340000005,0.0,0.6539742558899999,0.5127314374400005,11.610705704699999
122.0,0.0,0.0,94.57913,-0.3108,1.98378,0.313994,0.8179069999999999,0.38622,13.5439,30.3377,0.359897,2.11553,0.230484,0.0,0.0,0.0,0.219635889,4.89547e-05,1.70705006
105.0,1.0,2.0,100.43917,0.4266,5.04825,2.0908,0.533557,0.279994,0.612412,0.8377829999999999,0.240832,1.17954,0.126609,0.0,0.363622861,0.0,0.824394882,0.454891016,4.92982383
14.0,0.0,0.0,13.905829999999998,-0.2705,55.01178820000003,51.1221875,43.774651000000034,33.56234339999999,51.72611399999998,69.71832969999998,58.61347700000001,40.791812799999995,57.022449150000014,0.0,0.0,0.0,0.179693475,0.028983163,5.359970530799999
147.0,0.0,0.0,527.8302517000002,0.4225,201.83957900000004,85.198,87.70597000000006,89.328636,130.67624880000008,83.78929600000004,96.35003400000005,46.76854710000001,192.5547458999998,0.037727842069999996,0.09178515929,0.0,0.68050134099,0.5385903487433435,10.718995780099997
26.0,1.0,1.0,1533.8745199999996,0.3577,111.936,91.3071,629.226,3181.76,103.448,191.285,3543.25,1154.31,2.69857,0.0,0.578384088,0.0,0.460647643,0.034533583,25.5898132
49.0,1.0,0.0,3332.8913,0.5474,436.279,110.294,270.218,11.4668,27.6952,17.3382,30.4087,29.577,0.975289,0.0,0.557884944,0.0,0.13934290400000002,0.049925638,14.6291652
17.0,0.0,0.0,2588.6288,0.3004,0.387028,0.039397,0.123817,0.153082,0.901954,7.10049,0.042907,0.114393,0.0,0.0,0.0,0.0,0.146139458,0.039182646,1.99024055
516.0,0.0,0.0,2305.0631,-0.5586,13.7899,10.2855,12.5871,10.3198,36.2916,19.8891,8.24624,12.3718,0.796268,0.919866211,0.0,0.0,0.713784814,8.218389999999998e-07,5.85157295
229.0,0.0,0.0,162.29015,0.327,13.8663,18.9868,9.71495,25.1198,12.5933,15.6409,411.564,7.1489600000000015,2.02104,0.0,0.0,0.0,0.30087763100000003,5.09138e-07,0.0
53.0,1.0,0.0,35.43011,-0.4331,13.6358,4.43631,4.67109,4.65923,16.7378,17.3962,5.077380000000002,17.9042,38.9581,0.0,0.0,0.0,0.767620981,0.999997542,11.67800063
256.0,0.0,0.0,7.942539999999998,-0.3397,0.0,0.068652,0.0441233,0.0123188,0.07147289999999999,0.104658,0.07493939999999999,0.0,0.0855784,0.0,0.0,0.0,0.111908376,0.166948561,2.9313575465000015
34.0,0.0,0.0,463.55581,0.3715,12.8761,1.97808,2.66198,0.454302,5.81123,2.21285,0.591067,4.23468,49.6889,0.0,0.35893075700000004,0.0,0.79961127,0.337855764,12.578549699999998
14.0,1.0,0.0,2261.17843,0.2663,0.235617,0.0856405,0.101613,0.0434151,1.20793,0.793846,0.146828,0.931821,0.0564419,0.0,0.0,0.0,0.7969835999999999,0.946719308,9.78859286
49.0,0.0,0.0,974.6824133000005,-0.1845,48.3800171,26.526662900000016,24.298411200000018,18.08907385800001,45.973606999999994,67.70978680000002,42.44449,19.17120880000001,42.88163421000001,0.09230452553999999,0.00477882401,0.0,0.17792584,4.99768e-06,4.472074785599998
202.0,0.0,0.0,386.63511450000004,0.5132,181.13577300000006,88.17712499999998,93.65043900000009,97.43734771,135.7216788000001,83.24025500000005,97.82341300000006,47.135001100000025,174.40359419999987,0.037727842069999996,0.02665827654,0.0,0.6442963217199997,0.5795645902071235,10.744246667099999
241.0,0.0,0.0,530.5738801000002,-0.3624,152.3750300000001,81.39543699999999,78.21672100000009,83.69264559999993,111.82055460000001,84.18650000000004,83.16211300000008,42.542127900000025,109.57773345000001,0.01857929991,0.04257015944,0.0,0.6465215079799996,0.5297606944276003,7.829882411499997
528.0,1.0,1.0,5.07717,0.3445,0.05936180000000001,0.0275618,0.0376693,0.0,0.14941500000000002,1.35608,0.0314759,3.1571700000000003,0.0,0.0,0.0,0.0,0.8366215229999999,0.775375974,0.0
22.0,1.0,0.0,257.23512,1.2559,6.48269,11.0358,1.1799,0.202653,8.294139999999999,4.61596,0.91873,2.27168,0.031055400000000007,0.0,0.499434067,0.0,0.693781972,0.999998433,6.87689431
662.0,1.0,1.0,728.73949,0.5555,4.79846,0.5470189999999999,1.40566,0.917359,11.1441,3.00258,8.35908,0.91449,0.730862,0.9005028829999999,0.49080455,0.0,0.6933863159999999,1.0,3.74177141
64.0,1.0,1.0,590.52071,-0.4331,3.49425,8.652999999999999,3.2298400000000003,0.339362,16.2288,14.7574,0.500165,2.54225,0.12676800000000002,0.0,0.512173321,0.0,0.622939706,0.999693297,1.90066426
1.0,1.0,1.0,766.55161,0.092014,13.9779,8.75035,1.75555,2.14918,23.9603,1.93115,4.67696,4.13319,1.7634900000000002,0.0,0.5706635320000001,0.0,0.602114379,0.001820338,3.49140794
65.0,1.0,1.0,22.57919,0.2241,0.5717439999999999,0.162043,0.529291,0.0361896,2.22282,3.741330000000001,0.424746,2.41066,3.22076,0.0,0.0,0.0,0.638582647,0.011363582,3.8518009
21.0,0.0,0.0,1301.92267,0.3745,0.275553,28.8645,0.758959,2.36737,54.1038,2.557,0.278357,38.9539,0.183398,0.0,0.431381082,0.0,0.736296356,0.468620194,9.88779187
149.0,0.0,0.0,1917.48114,-0.3541,24.9937,5.49164,8.744860000000001,4.27798,28.27,27.4466,12.9917,5.38834,5.59133,0.0,0.396248826,0.0,0.669261694,0.003193956,5.52376604
109.0,0.0,0.0,804.1747799999998,0.4873,63.4628,74.99,27.534,21.3231,39.0108,59.966,40.0837,8.586960000000001,39.3169,0.0,0.0,0.0,0.429466158,1.55576e-06,2.93496915
155.0,1.0,0.0,11.5877,0.1871,264.664,126.378,4.81265,4.9088699999999985,6.35668,21.4049,6.28175,4.26531,3.89939,0.869202136,0.788155246,0.0,0.7691657540000001,0.018707972,23.41984427
41.0,1.0,1.0,1294.94009,-0.4295,13.4,1.6606599999999998,4.17825,0.413393,42.1044,96.3852,26.6844,7.35814,16.0634,0.0,0.0,0.0,0.186891869,1.16806e-05,3.9186492397999984
