IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,mousescore_Exomiser,humanscore_Exomiser,fishscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Colon_Transverse_GTExFC,Nerve_Tibial_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC
0.0,1.0,17.0,1006.9095,-0.433,0.930627006,0.8162841409999999,0.0,4.6328287445364795e-18,0.158249199,7.94256213,0.354105,6.08771,0.926743,-0.38331,-0.57,-2.775792,-0.346445,-0.202015,1.0388540000000002,0.050503,-0.5975659999999999,-0.327757,0.8744870000000001,-0.316966,2.700781,-0.385567,-0.5097520000000001,0.926871,0.944708,1.161607,-0.532507,1.568196,-0.515339,0.285139,-0.879318,0.385561,0.722897,-2.652866
2.0,1.0,39.0,73.5044,-0.3064,0.0,0.0,0.0,1.98871537094846e-07,0.435617685,0.0,-0.358025,8.48229675,0.671513,-6.643856,-0.4,-1.1690815299999995,-0.8491246600000002,-0.037111109999999975,-0.9295796199999999,-0.44902512,-1.4644707699999995,-0.4899738200000001,-1.0541098100000001,-0.20115484000000003,-0.5096188900000002,-0.5775529199999999,0.574404,-0.875467,0.942147,-0.6294734200000003,-0.657327,-1.7403058099999993,-2.54711964,-6.643856,-0.045347370000000026,-0.4074207899999999,-6.643856,-0.03194240999999995
2.0,1.0,112.0,194.54546,0.4655,0.0,0.0,0.0,0.0944353057008641,0.75617367,9.41746522,-0.192889,7.010089999999999,0.13111099999999998,0.700151,0.13,0.366615,0.249961,-0.302262,0.571401,0.056083,0.263502,-0.331836,-0.077848,0.160341,-0.219034,0.08164,0.097961,-0.48562,0.453982,-0.191597,-0.36657,0.473762,0.06669800000000001,0.8457020000000001,0.302392,0.09636,0.067978,0.194477
0.0,1.0,251.0,3.60496,-0.2944,0.8266041,0.957427108,0.0,0.734223241103143,0.6980452540000001,9.88631356,-0.125782,5.00635,0.492867,-0.662572,-0.27,0.260422,1.469023,-0.609726,0.790604,-0.530516,1.132045,-0.8075,0.500749,-0.420131,-6.643856,0.223313,-1.677822,-6.643856,-1.030139,-4.6665790000000005,-3.573813,1.41396,0.77782,-0.256048,-6.643856,-0.201286,0.749061,0.740259
0.0,1.0,33.0,30.51321,0.3791,0.0,0.0,0.0,0.0212580375414267,0.572527647,11.75996628,-0.217793,7.63748,-6.643856,1.3098610000000002,-0.2,0.953011,0.251886,1.436575,0.746436,-0.379024,-0.239279,-0.7928890000000001,0.289183,0.5440520000000001,-0.198661,0.383115,-0.232386,0.418033,-0.518201,0.25161300000000003,-0.218052,0.189573,2.1368,-0.388974,0.105921,-6.643856,-0.542471,0.656434
0.0,1.0,269.0,62.69651999999999,-0.5859,0.514240382,0.0,0.0,0.000244368543397983,0.238498077,2.80622297,2.6821740000000003,3.2277,1.684791,0.403192,-0.25,-6.643856,-6.643856,-0.937578,0.768296,1.762535,-0.6337229999999999,1.404356,0.5601619999999999,0.680528,0.8697090000000001,0.375199,-1.804823,0.626748,0.621135,-4.162617,-2.080092,-3.132977,0.432906,0.471321,-0.392839,0.642837,-0.583585,-5.868582
0.0,1.0,266.0,95.03749,0.2683,0.5706635320000001,0.0,0.0,0.3325767148890939,0.5887770416900001,2.91936788,0.693304,4.69039,-3.161312,0.778546,-0.8684992390000003,-5.16079,0.235568,-0.20941,-0.344381,-0.647004,1.260947,1.5065879999999998,-0.437346,-2.701629,-0.783462,-1.816217,-1.184796,-6.643856,-1.201365,2.422936,0.359533,-0.366002,-0.647977,-6.643856,1.908354,1.107148,0.892756,-0.605254
0.0,1.0,52.0,2513.68991,-0.3705,0.8387322209999999,0.0,0.0,0.476493104047244,0.668925405,10.75900262,-0.326643,9.69708,1.313345,0.321598,0.42,1.034605,-6.643856,-1.460321,-1.383824,0.690348,-0.281683,0.272742,0.254384,0.28018200000000004,0.906778,0.208875,0.7483770000000001,1.372258,0.956111,-0.362008,0.380619,-3.5856230000000004,0.25507,-0.665428,-0.458609,-0.597503,-0.236499,-2.177262
0.0,1.0,198.0,587.2068,-0.284,0.905486233,0.957427108,0.0,1.5742948793642095e-09,0.172807097,4.7137448,0.657833,7.205153550000001,0.56415,0.99596,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,-0.759732,2.6855740000000003,1.241344,-0.474817,-0.907425,2.823387,-0.5147229999999999,-2.811439,1.667331,-0.183218,-0.634989,1.64349,1.579983,1.260023,-0.555809,1.07159,1.30247,-1.932665
0.0,0.0,38.0,17.52078,-0.4952,0.0,0.0,0.0,0.997816206855922,0.831385493,8.7600131,0.018661,9.28198,-0.217787,-0.154329,-0.65,0.181773,-0.229374,0.098281,0.15598399999999998,0.006734,-0.030258,-0.120169,-0.055102,0.043924,-0.254352,-0.109813,0.045959,-0.083449,0.125809,0.233733,0.049249,-0.21414,-0.155432,0.081136,-0.492429,-0.017514,0.034569,0.111806
