wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
64,590.52071,2.59913,0.339362,14.7574,0.512173321,0,0,0.622939706,1.90066426,-0.135808,4.41109,-0.698552,-0.55,-0.513075,0.236308,0.381504,0.789084,-0.228812,-0.19513,-1.301027,0.437445,-0.31749,-0.32183,-0.301065,0.382197
1,766.55161,1.70976,2.14918,1.93115,0.570663532,0,0,0.602114379,3.49140794,-0.812072,7.8653704,0.177882,-0.71,-0.095045,0.116971,0.339584,0.177308,0.528861,-0.570755,-0.220455,0.127917,-0.319864,0.525699,-6.643856,-1.123398
65,22.57919,1.86247,0.0361896,3.74133,0,0,0,0.638582647,3.8518009,-0.165659,9.43416,0.17054,0.08,-0.177688,0.349774,-0.487325,-0.250359,0.612237,0.426189,0.186647,-0.345882,-0.444365,0.340093,-1.017026,0.768493
1,1989.47131,84.124,15.3251,46.0483,0,0,0,0.519577324,3.55585587,-0.192008,7.94672,-0.24672,0.96,0.466783,0.136588,-0.216832,-0.172432,0.160777,0.148087,-0.107466,0.135346,0.089155,-0.092177,-0.331267,-1.091373
460,105.54792,5.73781,4.98674,6.77435,0,0,0,0.170952082,1.86907763,0.176259,9.07861,-0.543246,0.24,-1.347163,0.683173,-0.191229,0.258877,0.487428,-0.740098,0.622263,0.911863,-0.16604,0.346528,0.277216,0.136333
21,1301.92267,0.327715,2.36737,2.557,0.431381082,0,0,0.736296356,9.88779187,0.770014,7.60617,0.407151,-0.62,0.18349,0.147283,0.16295,0.347742,-0.402096,-0.790441,0.189685,0.087438,-0.088524,2.690621,0.716415,-1.937011
25,65.69716,15.2294,6.3771,23.9533,0,0,0,0.661956608,11.6844728,0.061226,5.93494,0.126647,-1.04,0.275168,0.078268,0.223566,0.091608,0.147907,-0.395807,-0.291509,0.05206,0.133366,0.102271,0.109029,0.095466
149,1917.48114,6.46368,4.27798,27.4466,0.396248826,0,0,0.669261694,5.52376604,-0.127439,9.29424,0.222165,0.82,-0.380205,0.153392,0.129589,0.373378,-0.840511,0.265985,0.386135,0.173524,0.327354,0.421366,0.597375,0.272856
109,804.17478,66.4994,21.3231,59.966,0,0,0,0.429466158,2.93496915,0.151473,7.65635,0.130122,0.71,0.265138,0.328344,0.318309,0.301778,-0.192908,0.439502,0.262695,0.241284,0.40409,0.301174,0.425274,0.328002
155,11.5877,56.4558,4.90887,21.4049,0.788155246,0,0.869202136,0.769165754,23.41984427,-1.035948,7.96358,-1.733015,-0.32,-0.4399,-0.752038,-0.614919,-0.246638,0.083727,-0.429898,-0.764119,-0.634194,-0.141298,-0.435721,1.329662,0.90484
41,1294.94009,2.71505,0.413393,96.3852,0,0,0,0.186891869,4.618520973,-0.228072,8.1600627,-0.454267,1.84,-0.306911,-0.275445,-1.823533,-0.350403,-1.524719,-0.576076,-0.231954,-0.335386,-0.268265,-0.346884,0.834181,-0.356427
211,435.38052,0.0473853,0.0103568,1.01452,0.528331768,0,0,0.421012312,1.98266541,0.687974,7.67863315,0.696035,-0.27,0.190975,-0.302339,-1.610145,-0.731149,-1.225213,-0.733626,1.054111,-0.275741,2.361098,0.869961,1.031933,-1.404853
1166,11.551,44.5032,25.7132,5.17559,0,0,0.957427108,0.830946863,8.79295894,0.155825,7.95173,0.716556,-0.32,0.514159,0.610646,0.688935,0.374767,0.233483,1.74151,-0.481138,-0.502458,-0.227202,-0.452264,1.74955,-1.268833
310,38.51875,2.20333,0.38538,28.5434,0,0,0,0.684597015,6.62521728,-0.070162,3.63897,-3.058003,-0.36,0.16294,0.130718,-0.577057,-0.245257,0.768883,-1.443589,-0.25881,-0.198161,-1.483858,-0.230223,-0.52272,-0.524667
