Brain_Anterior_cortex_GTExFC,Breast_Tissue_GTExFC,HIPred,mousescore_Exomiser,SDI,RVIS_Score,Colon_Transverse_GTExFC,Brain_Cortex_GTExFC
-0.638903,-0.472885,0.527827442,0.855397621,26.460427,-0.401,-0.463126,0.775066
-1.395303,-0.881633,0.458951801,0,1.97547522,0.06,-3.274398,1.038356
-0.673067,-0.710548,0.778094649,0,10.67917885,-2.41,-1.23350312,-0.812796
-0.25068,-0.406497,0.443194807,0,1.99992492,-0.56,0.335775,0.088853
-1.925776,-0.340789,0.593201816,0.27755818,4.978203007,-1,-0.375682,0.187953
0.133198,-0.36868,0.636561334,0.172262543,4.415107691,-0.56,0.545364,-0.076607
0.141401,-0.137346,0.412954688,0,0,-0.25,-0.120712,-0.148467
0.495284,-0.193931,0.602500796,0,5.33091115,-1.06,0.298455,-0.348375
-0.19379948,0.02373144,0.146139458,0,0,0.68,-0.00609067,0.03710119
0.9067,-0.160329,0.146511853,0,12.72102078,0.08,0.1969,-0.412119
0.334003,0.274064,0.328141659,0,10.54543118,8.95,0.300364,0.375052
-1.10654,-1.000724,0.186891869,0,12.35448238,5.11,-1.018157,-0.957208
0.987979,0.525757,0.356269389,0,14.48467393,0.3,0.183751,0.95757
-0.62062406,0.140845,0.353563726,0,1.65679411,0.375,0.461081,-0.19323672
-0.235051,-0.258227,0.196595117,0,3.93670914,0.37,0.304214,0.275836
0.74937,-0.893812,0.642414148,0,21.50009141,-1.006699239,-0.970523,0.445263
-0.418023,-0.203614,0.39679274,0,6.86005273,-0.11,0.264681,-0.624339
0.250138,-0.171494,0.852899194,0,2.97639148,-0.15,0.134051,0.26475
1.008509,-1.178076,0.494588822,0,2.91372116,-0.54,-0.841615,-0.842168
1.834239,-0.54293723,0.72905165,0,5.91668299,-0.05,-0.232445,0.661552
-0.213734,-0.218841,0.685321391,0,4.60912048,-0.38,-0.111478,0.171999
0.626117,-1.191289,0.804062724,0.830863574,6.8125021,0.24,0.923585,1.538978
1.390349,-0.33122,0.79961127,0,5.7405052,-0.314,0.322363,-0.420827
-1.045324,-2.701647,0.401833534,0.549225289,3.9639913,0.73,-6.643856,1.226947
-0.303546,0.174826,0.743839204,0,15.82476944,-2.14,0.291576,-0.128113
-0.223738,-0.174478,0.596447028,0.742183659,2.98297969,-0.240198478,-0.913784,-0.372802
0.731563,0.221233,0.723324299,0.472965166,7.94127642,-0.33,1.11413,-0.195887
0.163109,-0.181779,0.705665529,0,7.90802953,-0.28,0.174294,-0.376017
-0.254566,-0.589565,0.824708164,0.494209116,5.85644216,-2.14,-0.183205,0.553345
0.684668,0.197172,0.484736234,0,2.7428922,0.59,0.124589,0.245579
0.209453,1.223688,0.728550792,0,11.69182943,-0.05,0.310808,0.528866
0.096344,-0.881263,0.714798927,0.442034071,3.81588039,-0.88,-0.35938,0.097852
3.290522,0.564996,0.774301469,0,3.75626441,-1.68,0.514466,-5.051266
0.419071,0.623563,0.714407027,0.855397621,14.76606971,0.24,0.423593,0.35824
0.852566,1.25633,0.369423717,0,1.74820254,0.64,0.465511,-1.057826
-0.540372,-0.502602,0.580139023,0,2.92856602,-0.5374,-0.940018,-0.17756
-6.643856,2.296986,0.72829324,0,0,7.61E-05,0.239065,-0.534871
-0.641932,-0.03810659,0.565498233,0,2.92012308,-0.38,1.816405,-0.223592
-6.643856,1.894309,0.716944396,0,4.77313532,-0.73,-0.367074,0.153651
-0.084531,-0.280951,0.745582581,0,6.70370701,-0.43,-0.250264,0.03563
0.42655,-0.332839,0.571837127,0,3.35283215,-1.32,0.359096,-0.309414
-1.916346,-0.686288,0.750652254,0.494209116,1.82330724,-0.6302,-0.364962,0.809333
-0.42945306,0.36817175,0.111908376,0,1.98841355,0.97,-0.52145416,-0.01906954
-0.42065329,0.43624382,0.123297259,0,1.98717466,0.35,-0.4728636,-0.24425863
-0.35467446,0.42187793,0.123297259,0,1.98717466,0.5257,-0.65919253,-0.25688201
-0.3523444,0.30259506,0.111908376,0,1.98841355,0.6003,-0.33548621,-0.29326433
-0.317056,0.986989,0.485596061,0,20.630263,-1.85,1.078351,0.308082
-0.10976277,0.01668526,0.132359073,0,4.52859362,3.56,0.04627196,-0.04213591
-1.351423,0.298609,0.824708164,0,6.91609969,-0.82,0.352137,0.145536
-0.621979,0.325094,0.75617367,0,1.98266541,0.33,-0.689734,-0.182782
0.721464,-0.789566,0.824708164,0.479453267,14.83915576,-7.28,-0.227889,0.14933
0.169926,0.062114,0.273053437,0,9.68123578,0.41,-0.193062,-0.251947
-0.263008,-0.354522,0.654942453,0.477882401,4.52819492,-1.31,-0.301772,-0.311009
0.66597,-0.060947,0.824708164,0.465944823,6.61160851,-0.71,0.297687,0.086098
-0.084733,0.381216,0.565020561,0,27.47563542,2.18,0.631828,0.027703
-0.493917,0.191435,0.519672751,0.387689527,4.90212349,-2.12,-0.470867,-0.163979
0.859064,-0.285694,0.700975537,0,9.69401325,-0.18,-0.10957,-0.234463
-0.929656,-0.28397,0.767147124,0,2.93755893,0.06,-1.396435,-0.24126
-0.415953,-0.117159,0.682115436,0.494209116,4.28735771,-0.99,-0.019516,0.716098
-0.97555863,-0.02480507,0.675508819,0.118197993,9.120255101,-0.3072,-0.07571463,-0.07917963
-0.502728,0.084428,0.650545239,0,8.26567547,0.51,0.064253,0.100667
0.477334,0.104274,0.824708164,0,4.66879313,-0.36,-0.30702,-0.072612
0.597821,-0.387869,0.743839204,0,12.90950108,-0.69,-1.577754,1.501415
2.260224,-0.347881,0.597733259,0.395367293,5.8717989,-0.53,-1.854367,-6.643856
0.174692,-0.177092,0.37917918,0,1.99733796,0.09,0.235502,0.193752
-0.99196039,0.63501638,0.501750886,0,1.74820254,-0.02,-0.54844278,0.04079553
-0.42605916,0.65052298,0.143669933,0,1.99932516,1.5607,-0.61718207,-0.56809071
-0.833125,-2.86022053,0.482412509,0,1.9940426,-0.6299,-1.749891,-6.643856
-6.643856,-0.320994,0.747131348,0.787925159,4.89364881,-3.1,-0.760845,0.837424
3.850186,4.347351,0.495365709,0.558572271,7.02337534,-2.78,-2.005174,-6.643856
0.922948,-6.643856,0.631864309,0,5.87436508,-3.64,2.292077,-3.501442
-0.720489,0.35716,0.781591654,0,2.98610432,-0.89,0.275147,0.282336
0.104458,-0.104933,0.792072892,0,7.54165982,-0.86,-0.072421,0.132118
-0.42878838,0.474997,0.111908376,0,0,1.2938,-0.62674138,-0.00701565
-0.11393,0.065333,0.432313383,0,2.00140612,0.19,-0.072886,-0.142222
0.192014,0.264992,0.320700407,0,5.62602042,-0.16,-0.198144,-0.200274
-0.476871,0.319353,0.824708164,0.899703515,7.68047773,-1.2,0.193909,0.32375
-0.31236128,0.23845434,0.444330692,0,0,0.88,-0.98438508,0.03810856
1.450146,-0.936904,0.782960892,0,5.42051031,-0.27,0.224891,0.209217
0.389723,-1.153188,0.636561334,0.882196062,9.79939448,-1.1,-0.971972,-6.643856
-3.079616,0.40511,0.715312243,0.570354007,8.93466965,-1.29,-0.265719,1.537555
-0.359242,-0.504179,0.594703972,0,8.84950791,0.15,-0.366766,-0.390562
1.018405,-0.561835,0.593016148,0.543648904,10.79073801,0.11,-0.329568,0.427018
2.166558,0.84224,0.474855743,0,1.99992573,-0.589299239,1.168516,-1.551028
-0.311825,0.638513,0.267443687,0,5.89036917,1.8,-0.251768,0.501038
2.088431,-3.829076,0.244530007,0.89609491,6.90823393,0.86,1.367762,-6.643856
-6.643856,-6.643856,0.181705475,0,2.83811816,0.53,2.419007,2.362735
0.626286,0.488045,0.711480618,0.932800606,3.98295932,-0.24,0.198776,0.414498
0.731934,0.539048,0.622939706,0.853179975,3.99033126,0,1.766588,-0.808762
0.307503,-1.846926,0.575230479,0,3.8377306,0.55,1.469183,-0.277353
-0.317685,-0.678582,0.653915465,0.545722407,10.93726445,1.07,-2.148263,0.863147
0.184816,-0.374156,0.762403488,0,4.62651381,1.39,0.10959,-0.608247
-0.481314,0.215041,0.638582647,0,0,-0.2,0.067781,-0.218985
0.679538,0.328431,0.229989916,0.431381082,7.6323214,-0.29,-0.225933,-0.182653
2.591148,0.697258,0.146139458,0,5.429372176,-0.1359,-1.340289,0.610929
-1.263687,0.13871912,0.45271197,0,14.75014718,1.91,-1.29850596,0.62231
-0.5038864,0.31090759,0.111908376,0,0,3.69,-0.55417502,-0.60797018
-0.3421292,0.16795407,0.170125708,0,1.74820254,1.13,-0.88069903,-0.42935762
-0.48481576,0.30845522,0.146139458,0,0,1.84,-0.61918531,-0.63216562
-0.59065954,0.29608899,0.25535503,0,0,1.612,-0.7633478,-0.73365277
-0.41597982,0.81616069,0.123297259,0,0,0.4516,-0.52571012,-0.20246471
-1.255153,0.38946286,0.111908376,0,0,1.02,-0.46979136,1.237485
-0.42729399,0.73990009,0.111908376,0,0,1.13,-0.69111606,-0.1790809
-0.42084124,0.74282368,0.146139458,0,0,0.37,-0.57437436,-0.5373317
3.027852,1.34553,0.146139458,0,1.98266541,1.73,1.406436,1.528439
-0.47713327,0.0827399,0.111908376,0,1.98266541,1.89,-0.48207434,-0.67088777
