wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
33.0,30.51321,0.3791,0.708883,3.56339,0.158664,35.5194,0.0,0.0,0.0,0.572527647,0.0212580375414267,11.75996628,-0.217793,7.63748,-6.643856,1.309861,-0.2,0.953011,0.251886,1.436575,0.746436,-0.379024,0.289183,-0.792889,-0.239279,0.418033,-0.198661,0.383115,-0.232386,0.544052,-0.518201,0.251613,-0.218052,0.189573,2.1368,-0.388974,-6.643856,-0.542471,0.656434,0.105921
269.0,62.69652,-0.5859,5.03811,2.67546,4.6432,3.12083,0.514240382,0.0,0.0,0.238498077,0.0002443685433979,2.80622297,2.682174,3.2277,1.684791,0.403192,-0.25,-6.643856,-6.643856,-0.937578,0.768296,1.762535,0.560162,1.404356,-0.633723,0.626748,0.869709,0.375199,-1.804823,0.680528,0.621135,-4.162617,-2.080092,-3.132977,0.432906,0.471321,0.642837,-0.583585,-5.868582,-0.392839
266.0,95.03749,0.2683,0.121381,0.358247,0.182195,1.23019,0.570663532,0.0,0.0,0.5812963734300002,0.3389615876302253,2.91936788,0.693304,4.69039,-3.161312,0.778546,-0.666199239,-5.16079,0.235568,-0.20941,-0.344381,-0.647004,-0.437346,1.506588,1.260947,-6.643856,-0.783462,-1.816217,-1.184796,-2.701629,-1.201365,2.422936,0.359533,-0.366002,-0.647977,-6.643856,1.107148,0.892756,-0.605254,1.908354
52.0,2513.68991,-0.3705,3.72013,4.83225,3.40578,0.649181,0.838732221,0.0,0.0,0.668925405,0.476493104047244,10.75900262,-0.326643,9.69708,1.313345,0.321598,0.42,1.034605,-6.643856,-1.460321,-1.383824,0.690348,0.254384,0.272742,-0.281683,1.372258,0.906778,0.208875,0.748377,0.280182,0.956111,-0.362008,0.380619,-3.585623,0.25507,-0.665428,-0.597503,-0.236499,-2.177262,-0.458609
198.0,587.2068,-0.284,28.3251,5.54074,1007.43,10.2313,0.905486233,0.0,0.957427108,0.172807097,1.57429487936421e-09,4.7137448,0.657833,7.822022500000002,0.56415,0.99596,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,1.241344,2.685574,-0.759732,-2.811439,-0.907425,2.823387,-0.514723,-0.474817,1.667331,-0.183218,-0.634989,1.64349,1.579983,1.260023,1.07159,1.30247,-1.932665,-0.555809
38.0,17.52078,-0.4952,38.335,27.0545,28.1895,43.5993,0.0,0.0,0.0,0.831385493,0.997816206855922,8.7600131,0.018661,9.28198,-0.217787,-0.154329,-0.65,0.181773,-0.229374,0.098281,0.155984,0.006734,-0.055102,-0.120169,-0.030258,-0.083449,-0.254352,-0.109813,0.045959,0.043924,0.125809,0.233733,0.049249,-0.21414,-0.155432,0.081136,-0.017514,0.034569,0.111806,-0.492429
104.0,264.70005,0.3519,110.95515999999998,119.98215069999995,73.92719200000005,98.39794569999998,0.06659055351999998,0.0,0.015733088699999998,0.146139458,0.159467559569008,6.419571830200002,-0.056515640000000034,13.87176,0.05424036,-0.7555360699999996,0.5483000000000002,-0.3650817299999998,-0.2409849000000001,-0.16372733999999997,-1.5410479899999998,-0.21817686000000006,0.00808651,-0.049868350000000033,0.09645038999999998,-0.7548463699999997,-0.8077383399999997,-0.04589091999999999,-0.025472699999999994,-0.018668689999999998,-0.008627249999999993,-0.31947799000000004,0.008670169999999993,-0.06926183999999996,-0.12167025000000002,-0.02990311000000002,-0.08294110999999998,-0.04185838,-0.15535062999999996,-0.5011458599999999
98.0,722.18127,0.2755,13.796424599999998,19.81430929999999,12.337531220000002,25.122909500000006,0.0,0.0,0.00957427108,0.19851407875000018,0.024285964983635465,3.908807284199999,-0.013330850000000007,9.755545,-0.06346639999999999,0.04695953999999999,0.42109999999999964,-0.058216550000000006,-0.05259530000000003,0.018314199999999992,0.05132902,0.056421870000000006,-0.012441020000000004,-0.07411459000000002,0.02945826,0.15484717999999997,-0.12422055999999997,-0.015878989999999992,0.07950001999999999,0.015745920000000007,0.031079140000000005,0.11692147000000004,0.05928116000000001,0.0009253499999999984,-0.024778770000000012,0.01881635000000002,0.03466298,0.009202150000000006,0.09697407,-0.06541368999999998
465.0,611.7661,-0.3,14.268479699999999,19.140827299999994,11.129865190000002,25.1857492,0.00913254607,0.0,0.056318799569999994,0.2921337603200001,0.09009427060257712,3.8130986990999975,0.0016695899999999997,12.9831,0.0036068100000000046,-0.30350793,0.3286000000000001,-0.16381327999999995,-0.22370891,-0.05008386000000001,-1.23086594,-0.16512934999999995,-0.07293684,-0.06789516000000002,-0.01504974999999999,-0.4024618900000002,-0.37232128000000025,-0.03442526,-0.04093519999999998,0.005939040000000007,0.04266589999999999,-0.31842786000000006,-0.22238483000000003,0.015197019999999988,-0.04330258,0.00221188,-0.002243759999999999,0.006456709999999993,0.10546998000000003,-0.13606659
48.0,21.64298,0.4095,28.978415099999996,26.804214999999996,12.814033799999999,38.23767959999998,0.045589982540000004,0.0,0.0,0.6509727221599997,0.4755414316255601,5.159617353600001,0.010020170000000002,8.4102583,0.01339233,0.013182580000000005,-0.29729999999999973,0.04541178000000002,0.057405789999999984,0.05217604000000001,0.02142705,0.034563979999999994,-0.03253603000000001,-0.08186098999999998,0.05767139999999998,0.036191850000000005,-0.14330861999999997,-0.021681329999999985,0.060296100000000005,0.02440527999999999,-0.018988299999999996,0.10618165999999996,0.01309254000000001,0.0030798599999999937,-0.013245319999999998,-0.012586320000000014,0.027818429999999998,-0.016732009999999995,0.03303534999999999,-0.10369900999999994
159.0,1286.87597,-0.4258,9.357874599999997,19.26148759999999,12.009684820000011,24.542067499999998,0.031705782530000004,0.0,0.00957427108,0.61473647109,0.302093096524779,4.8877145006000005,-0.03504222,8.768905599999997,0.0021528899999999945,0.01279791,-0.08010000000000002,0.08364002,0.03199803000000002,0.020115279999999992,0.03709711000000002,0.061322719999999976,-0.031819120000000006,-0.05827090000000003,-0.007822419999999991,0.08667538000000001,-0.14638166999999996,-0.01007374,0.04691611000000002,0.031298459999999986,0.03131763999999999,0.10552745,-0.007380980000000004,0.026784369999999984,-0.002872219999999999,0.04612799999999999,0.04997920000000001,0.024168220000000004,0.0707827,-0.03420917999999999
56.0,169.84402,0.6414,24.6006485,28.81553069999999,21.7888722,33.58140969999999,0.0,0.0,0.0,0.237914741,0.172745643750502,3.6826381738999974,0.025350960000000002,7.570296849999997,-0.07995534999999998,0.038414239999999995,0.34530000000000016,-0.21609608999999977,-0.034039029999999984,0.041508720000000006,0.052361820000000024,0.057788059999999995,-0.07469695999999995,-0.07347746000000002,0.06783633,0.10440033999999992,-0.14935119999999996,-0.03998214,0.034006,-0.005223970000000006,0.008799200000000002,0.020518210000000023,0.04139297999999998,0.003767599999999998,-0.01998314,-0.20019495999999992,-0.06053989000000001,-0.010238660000000002,0.07394085,-0.05176936999999998
27.0,11.5284,0.2613,26.0002812,27.450545899999984,16.515357770000005,39.961848499999974,0.00395367293,0.0,0.0,0.4249081881300001,0.14532060170285388,3.645646160799999,-0.028440550000000012,7.8625295999999985,-0.036928449999999974,0.02440241,-0.3440999999999999,0.012755079999999999,0.03961814,0.05264303000000001,0.07619315000000002,0.02098327,-0.03084483000000001,-0.09654745999999997,0.07214260000000002,0.09024272,-0.13629881999999996,-0.018136619999999992,0.015023280000000002,0.024434039999999994,0.004477869999999998,0.07690030999999997,0.027360710000000017,0.047057480000000006,-0.03812801,-0.06190776000000002,0.040664690000000024,-0.01605869,0.013850560000000005,-0.05232098999999997
122.0,94.57913,-0.3108,1.73907,0.585551,0.38622,30.3377,0.0,0.0,0.0,0.219635889,4.8954693456369e-05,1.70705006,0.804471,5.80268,3.465179,3.93096,0.13839999999999994,3.985695,2.761172,2.624324,2.756156,3.154977,3.820491,3.964067,3.373804,4.105542,2.481168,4.077557,2.207448,4.422732,4.056207,1.768522,2.876967,2.257061,4.05194,3.240065,3.453744,3.327256,3.806876,2.977153
105.0,100.43917,0.4266,1.24476,2.03188,0.279994,0.837783,0.363622861,0.0,0.0,0.824394882,0.454891016173085,4.92982383,-0.396753,9.11674,-0.562509,-1.75193,-0.42,-0.9788,-2.002064,1.102047,-0.831705,0.844187,-0.194131,-0.671327,-2.123087,-6.643856,-0.630144,1.043081,-6.643856,-1.508263,-1.416701,0.736335,0.907075,-6.643856,-0.644849,-0.482418,0.321111,-1.540466,1.27615,-6.643856
262.0,826.58674,0.5789,3.52678,27.9623,18.0789,14.9693,0.0,0.0,0.0,0.735934734,0.993084640132559,4.94565415,-0.256961,8.11372,0.323453,-0.315665,-1.52,-1.278225,-0.345333,-0.240288,-0.448655,-0.800556,-0.358302,0.182897,-6.643856,1.830032,0.88903,0.193302,-2.064807,-0.232789,0.155375,0.416063,0.77822,-0.844496,-6.643856,-1.395415,-2.310835,0.464502,0.752969,-0.510607
