,IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Minor Salivary Gland_GTExTPM,Pituitary_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC
52,1.0,1.0,662.0,728.73949,0.5555,0.736759,11.1441,0.730862,0.49080455,0.0,0.9005028829999999,0.99999999998943,0.6933863159999999,3.74177141,-0.277248
53,1.0,1.0,64.0,590.52071,-0.4331,2.5991299999999997,16.2288,0.12676800000000002,0.512173321,0.0,0.0,0.999693296855458,0.622939706,1.90066426,-0.13580799999999998
54,1.0,1.0,1.0,766.55161,0.07731599999999997,1.70976,23.9603,1.7634900000000002,0.5706635320000001,0.0,0.0,0.0018203378419392,0.602114379,3.49140794,-0.812072
55,1.0,1.0,65.0,22.57919,0.2241,1.86247,2.22282,3.22076,0.0,0.0,0.0,0.0113635817076805,0.638582647,3.8518008999999997,-0.165659
56,0.0,0.0,21.0,1301.92267,0.3745,0.32771500000000003,54.1038,0.183398,0.431381082,0.0,0.0,0.468620194092365,0.736296356,9.88779187,0.7700140000000001
57,0.0,0.0,149.0,1917.4811399999999,-0.3541,6.46368,28.27,5.59133,0.396248826,0.0,0.0,0.0031939556719064,0.669261694,5.52376604,-0.127439
58,0.0,0.0,109.0,804.1747799999999,0.4873,66.4994,39.0108,39.3169,0.0,0.0,0.0,1.5557575578e-06,0.429466158,2.93496915,0.151473
59,0.0,1.0,155.0,11.5877,0.1871,56.4558,6.35668,3.8993900000000004,0.788155246,0.0,0.869202136,0.0187079719750825,0.7691657540000001,23.41984427,-1.0359479999999999
60,1.0,1.0,41.0,1294.94009,-0.4295,2.71505,42.1044,16.0634,0.0,0.0,0.0,1.16806309975e-05,0.186891869,4.1508835462999985,-0.22807199999999997
61,0.0,0.0,211.0,435.38052000000005,-0.4933,0.0473853,1.0724,0.0,0.5283317679999999,0.0,0.0,9.67009048154e-05,0.42101231200000006,1.98266541,0.687974
62,0.0,0.0,1166.0,11.550999999999998,0.467,44.5032,40.9923,5.42097,0.0,0.0,0.957427108,0.23818636176752198,0.830946863,8.79295894,0.155825
63,0.0,0.0,15.0,19.37612,-0.2075,0.311958,0.22978800000000002,1.87789,0.0,0.0,0.0,0.0006391178022634,0.11190837599999999,1.98266541,-3.8233309999999996
64,0.0,0.0,81.0,656.55651,0.373,5.80662,5.2693900000000005,12.3475,0.0,0.0,0.0,0.577650480843115,0.48830753600000004,4.70997211,-0.13864400000000002
65,0.0,0.0,30.0,899.40808,0.3491,74.9705,127.376,228.96900000000002,0.0,0.0,0.0,0.0272025507564846,0.581228554,8.44786072,0.195082
66,0.0,0.0,280.0,36.30666,0.5709,49.411,24.9136,23.6826,0.0,0.0,0.0,0.787088146901824,0.72829324,0.0,-0.126712
67,1.0,1.0,18.0,371.5394,0.3012,11.6507,35.3001,18.5344,0.0,0.0,0.0,0.16397419129318697,0.575333595,2.93429059,-0.277437
68,1.0,1.0,1.0,1257.0747199999998,-0.16124900000000006,2.91657,29.3917,0.32816999999999996,0.853179975,0.0,0.0,2.74e-14,0.13934290400000002,2.89489364,-0.296521
69,0.0,0.0,61.0,702.63417,-0.5387,6.96277,10.7832,6.25185,0.5040940970000001,0.0,0.0,0.9984796505152379,0.757599056,6.46145605,0.096578
70,0.0,0.0,8.0,13.65731,0.1981,7.11475,1.2370700000000001,0.537801,0.0,0.0,0.0,0.347229317263347,0.28995356,1.96195718,-0.297516
71,0.0,0.0,66.0,215.89597999999998,-0.2298,0.9673700000000001,0.8398049999999999,1.44676,0.0,0.0,0.0,0.0003492522085972,0.26269474600000003,3.94830677,0.59969
72,0.0,0.0,84.0,1311.19681,-0.175,0.0309397,0.027005599999999998,0.0,0.005283317679999999,0.0,0.0,0.008276048462018648,0.19819688941,2.4952356938999984,0.676946
73,0.0,0.0,1.0,840.47456,0.201452,47.3841049,66.56900899999998,49.28509356999998,0.00395367293,0.0,0.00957427108,0.19666353939035716,0.5032518855500004,4.553763163799997,0.012587199999999995
74,0.0,0.0,62.0,179.81605,-0.1597,26.0590894,26.337858299999986,28.75669931000001,0.00994663896,0.0,0.0076088591,0.3712962196993294,0.5882788020899999,3.6654114644999978,0.05418014
75,0.0,0.0,1.0,5.42256,0.021173000000000008,9.06451,8.88177,0.465871,0.0,0.0,0.0,0.138254693826932,0.39625853299999997,1.70705006,-0.111426
76,0.0,0.0,65.0,10.253639999999999,-0.5576,119.41,82.0465,72.8449,0.38962596200000005,0.0,0.0,0.999812749503708,0.7829608920000001,37.57141285,-0.035311
77,0.0,1.0,55.0,350.77826,-0.5502,0.179242,0.265705,0.0788225,0.9306270059999999,0.0,0.957427108,0.0014339318816204,0.132359073,1.6697435,0.25354099999999996
78,0.0,0.0,17.0,295.69785,-0.3979,0.0,0.0,0.0,0.826392613,0.0,0.957427108,3.927e-13,0.11190837599999999,1.6697435,0.592445
79,0.0,0.0,606.0,8.73654,0.4083,0.572294,0.9242549999999999,0.120849,0.0,0.0,0.957427108,0.0350306078051602,0.30910086600000003,3.92083295,1.386835
80,0.0,0.0,2317.0,141.56503,-0.7345,0.0102511,0.014306799999999998,0.0593256,0.0,0.0,0.0,3.285408e-10,0.11190837599999999,2.89366853,-1.177008
81,0.0,0.0,224.0,2760.21963,-0.324,2.52129,2.44539,0.0880692,0.0,0.0,0.957427108,0.6723067310671291,0.506795704,1.96359409,1.397437
82,0.0,0.0,212.0,378.83872,0.3776,0.0651891,0.0,0.0,0.0,0.0,0.0,2.537686e-10,0.11190837599999999,3.8669160000000002,-6.6438559999999995
83,0.0,0.0,282.0,21.66294,-0.28300000000000003,22.3868,43.4933,26.3634,0.0,0.0,0.0,1.84813920683e-05,0.17792584,4.0803633566,0.24784299999999998
84,0.0,1.0,109.0,637.88987,0.3188,0.163501,2.61192,0.06870989999999999,0.0,0.0,0.651169479,2.541609223e-06,0.390099078,12.63081829,-0.28444
85,1.0,1.0,1.0,77.4528,-0.020599000000000013,15.3997,18.5242,0.2433,0.8876880629999999,0.0,0.0,0.168276873038356,0.591572225,1.99992492,-0.10818
86,0.0,0.0,48.0,8.97171,0.7071,0.0,0.0,0.0,0.00477882401,0.0,0.0,0.15739801203891,0.123297259,1.9305743429999989,-3.070712070000003
87,0.0,0.0,74.0,139.19509,-0.45899999999999996,29.6866294,28.675557799999982,34.02734270000001,0.050272281990000015,0.0,0.0,0.419406618148731,0.6390548506599999,3.697886412400001,0.05622907999999998
88,0.0,0.0,1396.0,796.35554,-0.5314,48.64101510000002,69.13434299999993,37.503165245999995,0.04057966266,0.0,0.14298566841,0.4186146248644333,0.64470579679,6.7629128486999965,-0.19619489
89,0.0,0.0,30.0,0.63842,0.3811,0.990711,1.29128,1.03867,0.0,0.0,0.0,0.18265692551249613,0.3974682505400001,2.7284279455,0.41211499999999995
90,0.0,0.0,672.0,499.50349000000006,-0.7297,0.8533879999999999,0.582014,0.0657459,0.0,0.0,0.0,0.0001364929585991,0.146139458,8.91291128,-0.512799
91,0.0,0.0,2.0,4755.6075200000005,-0.1857,87.6854,14.7673,0.295742,0.528793336,0.0,0.0,0.9999015427899979,0.7471313479999999,12.88289324,0.33408699999999997
92,1.0,1.0,192.0,218.27707,-0.3435,429.555,564.847,8.24415,0.913254607,0.0,0.0,0.0205002018825111,0.8485682609999999,1.86907763,-1.397957
93,0.0,1.0,765.0,747.20557,0.638,16.8669,2.08775,10.8395,0.8876880629999999,0.0,0.0,0.0810200671130622,0.44980269700000003,6.87802251,0.54222
94,1.0,1.0,94.0,6.5613600000000005,0.2822,9.72749,4.52835,0.108652,0.0,0.0,0.0,0.9860160883852119,0.8000363109999999,1.74820254,0.32501599999999997
95,0.0,0.0,14.0,250.99535,-0.7151,10.61,8.65442,11.9262,0.0,0.0,0.0,0.0621098709716946,0.743839204,10.79296239,-0.11985799999999999
96,0.0,0.0,234.0,741.13732,0.5378,0.0340596,0.0,0.0,0.0,0.0,0.0,0.05701551243543361,0.1576630278200001,0.0,1.036993
97,0.0,1.0,257.0,148.46268999999998,-0.4592,0.563924,5.81573,0.112573,0.514240382,0.0,0.0,0.9871670213257359,0.762403488,11.79347495,0.188398
98,0.0,0.0,108.0,15.970479999999998,0.1941,0.438569,1.47278,0.00470666,0.513919247,0.0,0.0,0.9366112099745301,0.824708164,0.0,-0.381363
99,0.0,1.0,108.0,1350.01732,0.4863,0.037074,0.161261,0.0281983,0.494209116,0.0,0.0,0.9599431877686609,0.6347865460000001,7.86340488,-0.412163
100,0.0,0.0,71.0,107.00426999999999,-0.5613,15.9373,7.791910000000001,8.62371,0.46519266200000003,0.0,0.0,2.77390387287e-05,0.705665529,6.70564693,-0.77344
101,0.0,0.0,20.0,265.4958,0.2923,0.0,0.052650999999999996,0.00537177,0.0,0.0,0.0,4.31893230685e-05,0.69255507,2.89203741,-1.8641337899999997
102,0.0,0.0,10.0,70.2485,0.3287,27.0762,26.7214,79.6665,0.0,0.0,0.0,0.600789667366506,0.715512335,1.12427871,-0.334271
103,0.0,0.0,358.0,1.92553,0.4922,60.86449300000002,93.81522499999996,101.34653612,0.061970260320000026,0.0,0.0374148346,0.4655485032183175,0.6598208237499997,7.606221743999997,-0.07432793999999998
104,0.0,0.0,81.0,98.07425,0.2472,4.19656,8.28389,4.71884,0.0,0.0,0.0,0.0113445756239307,0.38356629,2.19615612,-0.167837
105,0.0,0.0,61.0,1567.59549,-0.8276,37.8225,75.8852,4.09661,0.0,0.0,0.0,0.999969901472702,0.630912066,8.84810219,-0.062428
