,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
82,30.0,899.40808,0.3491,118.116,74.9705,54.2047,73.9433,0.0,0.0,0.0,0.581228554,0.0272025507564846,8.44786072,0.195082,9.63636,-0.184652,1.782823,0.46,1.224832,0.402766,1.46018,-1.160669,-0.421202,0.923207,-0.131867,0.578075,1.849184,-0.997811,-0.42264799999999997,0.608183,0.10655999999999999,0.2474,0.508463,-0.562339,-0.924319,0.356761,-0.32449,-0.254728,0.144101,0.872475,-1.398883,2
83,124.0,3228.09595,0.2944,2.15122,9.42215,5.99015,59.4449,0.0,0.0,0.957427108,0.396241546,9.668792253044667e-18,8.67033304,-0.15296400000000002,10.4058,0.14139200000000002,0.13636600000000001,0.09,0.12504500000000002,0.132439,0.135482,0.09439299999999999,0.095514,0.14235799999999998,-0.060034000000000004,0.09174600000000001,0.316864,0.17023,0.076774,0.28160999999999997,0.043169,0.076075,-0.149822,0.277378,-0.21646100000000001,0.108926,0.151193,0.129157,0.103372,0.138953,0.144183,3
84,230.0,579.86625,-0.3159,1.59049,41.8648,1114.93,3.1872,0.0,0.0,0.957427108,0.33202049100000003,0.0009788594124966,4.7073544,0.328403,8.538210000000001,-0.5619,-1.1406370000000001,1.64,-1.63884,1.488432,1.324236,0.815696,-0.262989,-0.747575,-0.626681,-0.44605500000000003,-0.263997,0.6448550000000001,-0.5412939999999999,-0.5665140000000001,0.257709,0.961434,-0.514328,0.76015,-0.740007,-0.564124,-1.279628,-1.460046,-1.370981,-1.215169,0.670643,3
85,280.0,36.30666,0.5709,4.9810099999999995,49.411,19.4902,119.375,0.0,0.0,0.0,0.72829324,0.787088146901824,0.0,-0.126712,9.312999999999999,-0.212567,0.411125,-0.43,0.44763000000000003,0.168206,-0.139424,-0.15432200000000001,0.5225350000000001,0.129746,-0.087012,-0.193879,-4.273598000000001,-0.431777,-0.26825,-1.2938379999999998,-0.125702,0.5452319999999999,0.482108,-0.284553,-1.9195490000000002,0.43144899999999997,-0.684876,0.165678,0.178393,0.253042,1.0333219999999999,2
86,494.0,63.5868,0.4323,0.00516141,0.00797711,0.165656,0.65622,0.5283317679999999,0.0,0.0,0.5640559789999999,0.0058705936126482,11.91440126,0.534988,7.83634,0.031411550000000045,-6.6438559999999995,0.19,2.1259069999999998,2.032652,0.853902,0.539474,-6.6438559999999995,-4.427492,0.4316603900000001,-2.519718,-6.6438559999999995,-1.2149940000000001,0.05398607999999999,-0.8777290000000001,0.4759996699999998,0.02872038000000007,-6.6438559999999995,2.465627,-4.3693029999999995,-0.262816,2.172883,-0.587965,2.040713,-6.6438559999999995,-0.6141810000000001,3
87,86.0,25.110310000000002,0.2926,46.7842,42.8068,7.8959600000000005,418.73900000000003,0.0,0.0,0.0,0.875350475,0.85084546139957,6.95230661,0.0943,10.831,0.47129399999999994,1.374962,-0.41,0.515523,0.096277,0.21989899999999998,0.11593900000000001,0.5030939999999999,0.251278,0.714536,0.096624,-0.142102,0.111331,0.620869,0.05574400000000001,-0.21560900000000002,-0.901291,1.007919,0.126413,-0.22481399999999999,0.5693779999999999,0.45211,0.18549000000000002,0.207325,1.536892,0.087885,3
88,18.0,371.5394,0.3012,7.74102,11.6507,8.4081,38.8683,0.0,0.0,0.0,0.575333595,0.16397419129318697,2.93429059,-0.277437,9.22485,-0.10313299999999999,0.24488600000000002,-1.57,-0.194903,0.497229,0.095092,0.276293,0.186687,0.155842,0.15112799999999998,0.217495,0.261903,0.107227,0.17255399999999999,-0.221944,0.183839,0.1786,-0.30613,0.16476400000000002,-0.136826,0.125877,-0.796888,0.123703,0.18642999999999998,0.148308,0.14663900000000002,1
89,1.0,1257.0747199999998,-0.030941000000000024,0.375859,2.91657,0.09893489999999999,10.7573,0.853179975,0.0,0.0,0.13934290400000002,2.7492765910306195e-14,2.89489364,-0.296521,7.968096949999998,-0.929617,-6.6438559999999995,1.54,0.851226,-1.073713,-1.257155,-1.117992,-1.396128,1.9758349999999998,-1.651891,-1.015007,-1.969337,-1.3509520000000002,-1.068792,-2.21767,-1.0431290000000002,1.229697,-1.058188,-2.828286,-1.434408,2.039688,-0.8240709999999999,-0.596719,-6.6438559999999995,-0.714916,-1.326753,2
90,61.0,702.63417,-0.5387,7.42245,6.96277,2.6642900000000003,14.5914,0.5040940970000001,0.0,0.0,0.757599056,0.9984796505152379,6.46145605,0.096578,7.8260000000000005,0.483828,0.291511,-0.53,0.343965,0.07575,-0.094362,-0.276434,0.16677899999999998,0.13476300000000002,0.17444500000000002,-0.169004,-0.140097,0.175602,0.155995,-0.239184,0.141239,0.117682,-0.118717,-0.172176,0.256024,0.055289,0.155595,0.112996,0.157092,0.13845,0.288781,2
91,8.0,13.65731,0.1981,0.43019300000000005,7.11475,0.493971,3.6116800000000002,0.0,0.0,0.0,0.28995356,0.347229317263347,1.96195718,-0.297516,4.14163,1.2197040000000001,2.9668490000000003,-0.08,0.378668,0.9995719999999999,0.589845,-6.6438559999999995,-0.20675900000000003,-0.318889,-0.18895,-0.22778299999999999,0.585191,1.148323,0.47676499999999994,-0.7963210000000001,0.223636,1.473649,0.8700190000000001,0.543089,-6.6438559999999995,0.496775,2.1804360000000003,1.169357,-0.7716310000000001,2.239681,1.029876,4
92,66.0,215.89597999999998,-0.2298,2.1034599999999997,0.9673700000000001,0.5664399999999999,4.20784,0.0,0.0,0.0,0.26269474600000003,0.0003492522085972,3.94830677,0.59969,9.8233,0.678289,1.485537,0.42,0.816854,-0.47603199999999996,0.361334,0.791484,1.255387,0.48756000000000005,1.078483,-1.005708,-0.339093,0.33478800000000003,0.451949,0.456984,0.547243,0.7503920000000001,-1.482964,0.36504000000000003,-2.198544,0.5801270000000001,0.8332709999999999,0.669974,0.712241,1.7008560000000001,0.65884,2
93,251.0,2197.61027,0.3962,1.3657,10.0662,13.4326,1.48106,0.0,0.0,0.0,0.233205885,0.0121973641922403,0.0,-0.160421,7.12955,-0.677871,1.296812,0.41,-0.777238,-3.298035,0.318325,0.25200300000000003,0.2769,-0.114095,-0.683513,0.24476599999999998,-1.216862,0.39555300000000004,-0.293471,0.36789099999999997,-0.11838599999999999,0.18352000000000002,0.223476,-0.40271999999999997,0.37924,-0.2235,-0.371515,0.08844500000000001,-0.464258,0.547457,0.185695,3
94,10.0,50.21273,-0.3655,0.8530780000000001,6.2274199999999995,0.20692399999999997,0.520784,0.0,0.0,0.0,0.418466419,0.0381673646294114,4.89372234,-0.193429,5.93072,-2.399747,0.21343299999999998,-1.46,-1.177443,-1.137722,-6.6438559999999995,-6.6438559999999995,-6.6438559999999995,0.541637,0.39167399999999997,1.738303,-2.2272060000000002,-0.8428680000000001,-0.22346799999999997,-6.6438559999999995,0.242116,-0.521846,1.441152,-2.0905150000000003,-6.6438559999999995,0.28770500000000004,1.020086,2.185429,-0.9582200000000001,0.625779,-5.426312,3
95,72.0,6992.13025,0.8927,0.341075,0.728949,347.11199999999997,12.4928,0.0,0.0,0.0,0.698162794,0.0833573677195577,5.64448814,-0.087549,4.18145,0.458873,-0.483245,-0.63,-2.144978,0.29786599999999996,0.331335,0.907868,-0.48213199999999995,0.327414,0.254231,0.495184,3.4284,-0.42898500000000006,0.393318,0.469869,0.252735,0.474404,0.318804,-0.536046,0.902013,0.368142,-2.554696,0.35453,0.293962,0.34172600000000003,0.533852,3
96,275.0,30.64753,0.515,1.28041,4.42862,0.351006,0.613246,0.0,0.0,0.0,0.746013939,0.989844564730837,1.99049944,0.696484,7.7930600000000005,-3.4350949999999996,0.37711500000000003,-0.67,-2.2724349999999998,0.19724,-0.18414,0.98775,0.263691,0.31789,-0.16583,-0.27401,1.7048159999999999,0.21410700000000002,-0.5539069999999999,0.23036900000000002,-0.19029300000000002,-1.372894,0.207675,0.273719,-0.23536999999999997,-6.16792,-2.553513,-0.7358439999999999,0.842881,1.0438379999999998,0.534347,3
97,84.0,1311.19681,-0.175,0.0,0.0309397,0.0,7.00215,0.043275487630000005,0.0,0.00615881762,0.21200299788000007,0.03177255925499807,3.064864774000001,0.676946,7.680533599999998,-0.011522869999999956,-1.8794305600000007,1.0573999999999997,-0.7467386500000001,0.3496853100000001,-0.052328490000000026,-6.6438559999999995,-0.10318965999999996,-0.5694148099999999,-0.10899229,-0.96833442,-0.6849937999999999,0.12784773999999993,-0.034816510000000064,0.5497310000000001,0.38111,0.5226513300000002,-0.9510389099999992,0.515884,-0.5336314099999998,-1.967986550000001,1.100968,-0.038767269999999986,-0.10638118000000003,-0.4400495200000001,0.1963689,4
98,1.0,840.47456,0.17585399999999998,10.472455400000001,19.733503999999996,9.848673620000008,22.3163212,0.09669073695000002,0.0,0.015733088699999998,0.61851128876,0.4543259740503939,4.780693245700001,-0.03692284999999999,8.153447300000002,-0.06566517999999998,-0.027248910000000008,-0.3777999999999999,0.047029939999999985,0.03649661000000002,0.08572333,0.0006063499999999961,0.034703,-0.0003635000000000049,-0.04570903000000002,0.05922033,0.13064530999999996,-0.16512998999999998,-0.006802979999999999,0.05141641000000001,0.012549060000000004,0.004288129999999994,0.10561758999999996,0.016410860000000006,0.06289207999999996,-0.01516745,-0.004212439999999987,0.03358756,-0.009015719999999994,-0.28765589,-0.04269539999999997,4
100,1.0,5.42256,0.04700699999999998,9.61935,9.06451,0.7440319999999999,7.89733,0.0,0.0,0.0,0.39625853299999997,0.138254693826932,1.70705006,-0.111426,10.53455,0.786301,-1.303305,0.006899999999999997,-1.591081,-2.985417,0.23396199999999998,0.7102609999999999,-0.548357,-1.77715,0.7226640000000001,0.487262,0.345526,0.528463,0.161375,-0.615888,0.264201,-0.47130500000000003,-0.688346,0.358921,0.278459,-0.704756,0.716758,-0.437119,-0.196161,0.46221899999999994,-0.360514,2
101,65.0,10.253639999999999,-0.5576,35.0415,119.41,33.9225,62.6791,0.38962596200000005,0.0,0.0,0.7829608920000001,0.999812749503708,37.57141285,-0.035311,3.18948,0.17372,0.366693,-0.58,0.359185,0.148224,0.065452,0.167468,0.09304,0.08090900000000001,-0.059405999999999994,0.14268599999999998,0.207141,0.11445899999999999,0.059978,-0.27789899999999995,0.100863,-0.31802199999999997,0.162139,-0.47765799999999997,0.451874,0.12100599999999999,0.526144,0.15888,-0.11580499999999999,-0.277855,0.16307,2
102,55.0,350.77826,-0.5502,0.0200648,0.179242,0.19893,6.4103,0.9306270059999999,0.0,0.957427108,0.132359073,0.0014339318816204,1.6697435,0.25354099999999996,6.5818248000000015,-2.3016669999999997,1.7218740000000001,-1.19,4.073819,2.2478759999999998,-6.6438559999999995,-6.6438559999999995,-1.821252,-2.517421,2.242977,-2.39529,1.6510259999999999,-6.6438559999999995,-6.6438559999999995,3.3371519999999997,-1.619486,4.054573,-3.7086589999999995,-6.6438559999999995,3.974244,-6.6438559999999995,-6.6438559999999995,4.097321,0.9914,-1.539999,-1.395521,2
