wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
122,94.57913,-0.3108,1.73907,0.585551,0.38622,30.3377,0.0,0.0,0.0,0.219635889,4.8954693456369e-05,1.70705006,0.804471,5.80268,3.465179,3.93096,,3.985695,2.761172,2.624324,2.756156,3.154977,3.820491,3.964067,3.373804,4.105542,2.481168,4.077557,2.207448,4.422732,4.056207,1.768522,2.876967,2.257061,4.05194,3.240065,3.453744,3.327256,3.806876,2.977153,AMH,probable
105,100.43917,0.4266,1.24476,2.03188,0.279994,0.837783,0.363622861,0.0,0.0,0.824394882,0.454891016173085,4.92982383,-0.396753,9.11674,-0.562509,-1.75193,-0.42,-0.9788,-2.002064,1.102047,-0.831705,0.844187,-0.194131,-0.671327,-2.123087,-6.643856,-0.630144,1.043081,-6.643856,-1.508263,-1.416701,0.736335,0.907075,-6.643856,-0.644849,-0.482418,0.321111,-1.540466,1.27615,-6.643856,ANGPT2,probable
262,826.58674,0.5789,3.52678,27.9623,18.0789,14.9693,0.0,0.0,0.0,0.735934734,0.993084640132559,4.94565415,-0.256961,8.11372,0.323453,-0.315665,-1.52,-1.278225,-0.345333,-0.240288,-0.448655,-0.800556,-0.358302,0.182897,-6.643856,1.830032,0.88903,0.193302,-2.064807,-0.232789,0.155375,0.416063,0.77822,-0.844496,-6.643856,-1.395415,-2.310835,0.464502,0.752969,-0.510607,ANO1,possible
14,13.90583,-0.2705,,,,,,,,0.179693475,0.0289831629951808,,,10.6066,,,,,,,,,,,,,,,,,,,,,,,,,,,AP000867.1,least likely
147,,0.4225,,,,,,,,,,,,7.76694,,,,,,,,,,,,,,,,,,,,,,,,,,,AP002884.2,least likely
26,1533.87452,0.3577,8.65174,63.8193,3181.76,191.285,0.578384088,0.0,0.0,0.460647643,0.0345335830833016,25.5898132,0.949548,8.56601,0.540711,-0.391193,,0.984697,0.261578,-1.275063,-0.132356,0.264105,0.608191,-0.384262,0.152302,0.295924,0.818733,-0.385999,-0.136219,0.868928,0.363099,0.236451,2.259792,0.770278,-0.374548,1.222383,0.371872,0.83435,-0.49006,0.501766,APOE,most likely
49,3332.8913,0.5474,57.9542,190.47,11.4668,17.3382,0.557884944,0.0,0.0,0.139342904,0.0499256381399427,14.6291652,-0.997984,9.4829,1.502018,-1.380812,0.04,-5.36362,-3.149766,1.449647,-1.495088,-0.574777,0.405443,-0.210133,-0.471866,2.908472,-0.854902,-0.213319,2.598586,-0.365122,-0.447159,-0.584149,-6.643856,1.345416,-0.290808,-0.793196,-1.432239,0.341233,-1.353083,-0.650053,AQP1,probable
47,191.33923,-0.4783,4.38733,15.5675,2.1765,17.0841,0.0,0.0,0.0,0.537733793,5.17606707704438e-06,3.71537399,0.282597,8.01291,0.218957,-0.218154,-0.02,0.291977,0.146726,0.259344,0.116296,-0.247548,0.243541,0.167732,-0.142192,-0.352194,0.190617,0.186468,-0.333624,0.340043,0.237398,0.305355,-0.138065,1.791387,0.216107,0.257774,-0.220554,-0.551181,-0.190794,-0.189839,ARHGEF25,possible
17,2588.6288,0.3004,0.0,0.227021,0.153082,7.10049,0.0,0.0,0.0,0.146139458,0.0391826461982656,1.99024055,-1.564454,4.13918,1.933297,,0.72,1.227605,1.037917,2.097186,1.532616,1.335035,0.840067,1.430746,0.953828,1.45441,2.397692,1.423253,,1.271964,0.95,1.196564,,0.927747,1.758202,1.915851,1.12341,,-1.34281,2.739385,ARMS2,probable
1,28.86459,-0.1538,16.63,15.7573,12.4646,16.1853,0.768817187,0.0,0.0,0.718624055,0.987642966676249,5.35980957,-0.087614,5.87758,-1.6986,0.74216,-0.34,-4.9463,-0.205581,-0.166316,-0.302167,-2.690242,0.705136,0.368791,-0.818938,0.198718,-0.133125,-0.125596,0.519407,-0.1511,-1.150809,-0.209595,-0.613794,0.280159,-0.498133,-3.735955,-0.306364,0.686451,2.017593,0.64423,ARNTL,possible
516,2305.0631,-0.5586,7.93263,16.569,10.3198,19.8891,0.0,0.0,0.919866211,0.713784814,8.21839210300339e-07,5.85157295,-0.116739,10.6463,0.165161,0.368739,-0.05,0.300824,-0.462422,-0.340381,-0.77928,-0.12467,0.294703,0.232317,-0.130058,0.32852,-0.150206,0.167311,-0.189982,-0.309342,-0.063113,-0.187101,-0.138361,-0.295011,-0.472106,-0.258615,-0.302637,0.375904,-0.443192,-0.224768,ARVCF,probable
229,162.29015,0.327,5.99023,7.49122,25.1198,15.6409,0.0,0.0,0.0,0.300877631,5.09137965873753e-07,0.0,-0.247947,3.53689,-0.727564,-0.786234,0.55,-0.742188,-0.498221,-0.707624,-0.626809,-0.334215,-0.903789,-0.848908,-0.304573,-0.822623,-0.658817,-0.968869,-0.889486,-2.006993,-1.474394,-0.616942,-0.874367,-0.684801,-1.159896,-0.75466,-2.40645,-0.845856,-1.520809,-0.40618,AS3MT,probable
97,1068.91123,0.3647,0.105649,0.0689112,0.023736,3.80648,0.0,0.0,0.0,0.748623252,0.72851478269818,0.0,1.227835,11.9219,-0.22035,0.858509,0.4,-0.826186,0.741769,0.603996,1.182574,-2.215742,0.431375,1.384574,0.573977,-1.069709,-6.643856,-1.077444,0.5284,-0.534611,-0.543357,-0.213662,-1.854598,0.56088,-1.166738,1.481008,-0.29855,0.918156,-6.643856,-0.696574,ASIC4,possible
