,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
10,1399.0,12.51592,33.94663129999999,20.05931152,43.899920299999984,0.06220076002,0.0,0.02125844492,0.6568711020199999,5.636118726600001,0.00795264,8.652135349999998,-0.18070861000000005,-0.28569923899999977,0.07577535,0.011773209999999996,-0.02848834999999999,-0.05292939999999997,-0.08672775999999999,-0.10932786000000004,-0.10949972999999998,-0.012692250000000007,-0.032705300000000014,-0.008958779999999998,-0.10934794000000003,0.022567089999999998
11,210.0,171.18661,19.72973729999999,13.692475400000005,22.9486975,0.0,0.0,0.00894080968,0.2679071175400002,3.3870718126999986,0.015386129999999991,7.766,-0.06919896999999997,0.4357000000000001,-0.08208386000000006,0.02323132,0.06350386000000001,-0.03748406,-0.07996779000000001,0.06134233,-0.16452276000000005,0.07451676000000003,0.02522943000000001,0.04629605000000001,0.05818456999999998,0.09281946999999996
12,261.0,4573.515329999999,21.833741499999995,11.946343600000004,29.267798599999992,0.013542738269999998,0.0,0.02429828941,0.4847416521300002,4.523505294199999,-0.02845599,7.39595,-0.04788998999999998,0.3410000000000001,0.009922780000000018,0.007131530000000001,0.06388430000000002,-0.07071958999999997,-0.07006183000000002,0.08471032,-0.1663106100000001,0.041042530000000015,0.00620106,0.03535434,0.05357113999999997,0.09082801999999997
13,21.0,31.188159999999996,49.340025900000036,23.89214160000001,79.13447059999997,0.0,0.0,0.0,0.146139458,4.018311058399998,0.00303319999999999,7.125360000000001,-0.06024018999999998,0.2013,-0.005950620000000006,0.05539085000000002,0.06221997,0.011126629999999995,-0.07046497,0.10472127000000003,-0.12743800999999996,0.07169219,0.007935699999999997,0.0031512300000000005,-0.009361660000000004,0.01731691
14,846.0,3024.54248,24.70419740000001,12.90252620000001,33.25535099999999,0.028753858680000008,0.0,0.031090568430000003,0.5182698009599999,4.966955788700002,0.005564579999999998,9.833969999999999,-0.02796663999999998,0.07059999999999997,0.05385228,0.003164049999999998,0.01668332000000002,-0.04014629999999999,-0.07626347000000003,0.09433304999999996,-0.11038155999999998,0.03625588,0.012284490000000007,0.018464519999999998,-0.03239242999999998,0.057557419999999984
15,30.0,2440.91385,36.10323699999998,18.05184628,43.34900499999997,0.07532918631000002,0.0,0.031907148510000004,0.2437764899400001,11.2880966434,0.008254149999999997,3.2241400000000002,0.10739092,1.0396999999999996,-0.11869101999999998,-0.08266997000000002,-0.35014688,-0.058084699999999975,-0.07339836000000001,0.12581246,-0.30982338,-0.0075656799999999965,-0.15972508999999996,-0.16230546,0.029121859999999992,-0.2884958099999999
16,66.0,1631.4976900000001,26.054178799999995,13.480961699999995,31.789943299999994,0.00395367293,0.0,0.0,0.22596397323000025,3.9703771938,-0.01663498000000001,8.483970249999997,-0.06480364999999998,0.954699999999999,-0.033473680000000006,0.04466090000000003,0.07719610999999997,-0.056345249999999986,-0.08146647000000001,0.14653272999999994,-0.14924220999999996,0.06918220000000005,0.027712829999999987,0.03242608,0.04757145,0.10677451999999996
17,105.0,86.29137,25.05118950000001,15.436497499999998,30.6270338,0.0,0.0,0.0,0.21448766794000013,3.701725355599999,-0.006426040000000025,8.99874,-0.06989911999999998,0.2583000000000001,-0.02213797,0.03597138999999998,0.06251424000000001,-0.022795610000000008,-0.08282494,0.13832280999999996,-0.14690738999999992,0.05059142000000003,0.02639758999999999,0.0037733000000000055,0.022067930000000003,0.09972667000000003
18,176.0,10.46141,23.927436499999992,18.43477920000001,38.734257299999975,0.04761315178,0.0,0.0,0.6459810026299998,5.4264713807000025,-0.01043039,8.497286099999998,-0.005984829999999999,-0.2413999999999999,0.005187210000000005,0.021848409999999995,0.010205340000000007,-0.06216465000000002,-0.07627459,0.017546220000000008,-0.16099680999999993,0.00013349000000001553,0.02413004,-0.0013992100000000008,-0.025228520000000004,0.06342555999999999
19,135.0,0.31035999999999997,88.2771294,72.64887786,80.71673010000002,0.05542099953,0.0,0.028722813239999995,0.7107849445899999,8.379662617299996,-0.13756810999999994,9.1719844,0.01615197,-0.2534992389999999,-0.4825197700000001,-0.10077835999999997,-0.12590593999999994,-0.06482847999999998,-0.06687957000000004,-1.1392248700000005,-0.7976677899999999,-0.15073935000000005,0.17365017000000002,-0.020258179999999997,-0.38383239,-0.06753789000000003
