wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Nerve - Tibial_GTExTPM,Heart - Atrial Appendage_GTExTPM,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Kidney - Medulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Minor Salivary Gland_GTExTPM,Muscle - Skeletal_GTExTPM,Ovary_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Muscularis_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Esophagus - Mucosa_GTExTPM,Vagina_GTExTPM,Colon - Transverse_GTExTPM,Adipose - Subcutaneous_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cortex_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Cervix - Endocervix_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Colon - Sigmoid_GTExTPM,Brain - Substantia nigra_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Hypothalamus_GTExTPM,Breast - Mammary Tissue_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
30.0,0.0,0.0,2440.91385,0.2594,56.63628700000001,65.29232499999999,48.86708300000002,52.84030700000001,32.550995000000015,41.61166999999998,23.38898126999999,67.92013099999998,42.833551000000014,49.35625950000002,47.430822699999965,58.428527999999986,42.35928000000002,57.750327999999996,46.18204300000005,45.01824300000005,50.56538499999997,37.70920599999997,60.82353339999999,56.97407200000001,65.00483200000002,23.553990259999992,17.758940599999995,50.296806000000004,65.87611100000002,47.198372,52.3388222,111.68822699999996,106.18802799999996,87.74173299999995,75.42774800000002,62.475858999999986,17.192006599999992,17.438776,21.391755,44.40821129999999,21.463113000000018,57.580783999999994,64.97849100000002,58.54723726800002,74.33409520000001,58.461926000000005,17.691271,25.39365600000001,21.253424000000013,49.39497399999999,17.764967999999996,0.046630023849999994,0.00826392613,0.0,0.23227615198000007,0.05664734674138003,4.623587150899999
66.0,0.0,0.0,1631.49769,0.1789,54.73386700000002,62.999889,47.56089700000001,52.624851000000014,30.014620000000008,36.906169999999996,18.934361669999994,63.08573099999998,41.74375100000001,43.85102850000001,45.70672769999997,56.00163499999998,41.491271000000026,55.145346999999994,46.388822000000054,43.02232400000005,52.303161999999965,33.657378999999985,48.43437660000001,55.559051,61.47146800000002,19.442323569999996,15.149710300000004,49.200589000000015,63.41322000000002,46.58641999999999,51.6945852,43.983239,102.95926399999996,91.47252499999995,74.54253700000005,61.12354899999998,16.94273159999999,17.480205,19.670645999999994,37.9338207,21.36828600000001,55.65579600000002,62.23102000000001,54.76029348999999,65.0306965,55.037375000000004,17.037224000000002,22.887808000000014,20.00619400000002,47.867459,17.776256999999998,0.0,0.0,0.0,0.2736570554300001,0.045500946982349216,4.2437588871999985
105.0,0.0,0.0,86.29137,0.3539,49.373016000000035,60.128316,49.414842000000014,55.409702000000024,29.81708450000001,36.195607,21.567936670000005,58.515201999999974,40.061997000000005,49.18693810000001,44.45425199999997,52.27887,38.99992700000002,50.749542,46.22282400000004,43.07638100000005,54.40100399999995,34.353785999999985,44.84239040000001,54.582930000000005,56.002179999999996,19.398679769999983,14.6620445,47.77902400000001,57.09802600000002,46.652317999999994,49.6811682,43.82535999999998,104.86352399999998,88.66302699999993,72.39754100000002,56.17028299999999,17.418993599999997,17.978205000000006,21.012044999999997,35.7037269,21.816954,51.81537600000001,59.922247000000006,53.21306278000001,62.724325900000004,51.07748499999999,17.109884000000008,23.041646000000004,20.716756000000014,47.124468000000014,18.037309999999994,0.00957427108,0.0,0.0,0.28380424995000014,0.059689147322769226,3.838191466399999
176.0,0.0,0.0,10.46141,-0.4437,52.012598000000025,56.994471999999995,26.745544700000018,18.705734700000015,29.677969000000004,35.50409,20.569038569999993,55.441989999999976,37.112614,42.371125400000025,44.96790589999995,50.565397000000004,42.617030500000034,51.173467,44.07889200000004,44.00455300000005,55.928414999999966,33.191812999999996,55.18707959999999,54.513815,54.223306,22.992702458,15.627571900000003,48.064961000000004,56.78078600000003,44.71504500000001,50.47900500000002,41.243230999999994,100.36093899999993,83.93193499999995,68.61273000000003,53.05300599999999,17.761079999999996,18.92798,21.910138000000007,45.664804000000004,23.223317999999992,52.45756300000002,59.623818,66.76692562000002,70.7061243,50.146485999999975,16.765568400000003,20.624773999999988,21.608092000000013,48.03792000000001,20.350685999999996,0.00957427108,0.02079180505,0.0,0.5333002928700002,0.3710787737064817,3.8979072141000004
135.0,0.0,0.0,0.31036,1.0733,52.49715700000002,61.66306199999999,51.738727,60.809255000000014,30.944525000000016,41.286907000000014,39.02321757000002,58.15280499999998,40.49890999999999,83.28916210000003,46.70949069999996,55.909916000000024,41.02753050000002,53.138833999999996,45.52492400000005,43.090327000000045,52.55118299999995,34.96467599999999,56.811838400000006,52.987375999999976,57.96874100000001,22.54631262899999,16.38592479999999,49.957295,58.79057100000004,46.02142200000001,51.819734999999994,43.23161279999999,101.09172799999996,85.45761199999994,72.95370400000003,56.247016,18.23155199999999,19.78261600000001,21.71192700000001,48.790050000000036,25.71028099999999,55.896153999999996,59.13111900000002,68.60357386000004,86.86685559999997,50.134761,17.14803300000001,21.625647999999998,24.253326999999995,48.481138,20.981261,0.0,0.11059246683000006,0.0,0.6445278247599999,0.4785074602531017,6.829846191699997
115.0,0.0,0.0,7.54913,-0.4311,50.907642000000024,57.16941999999999,26.72710570000002,18.848447700000015,27.49839500000001,35.65628,20.82757167999999,53.38433399999999,37.100370000000005,42.248386600000025,45.073407999999965,49.73120300000001,42.67005400000003,50.445107,43.910553000000036,43.81862700000005,56.02564999999997,31.995927999999996,56.21552,54.585837999999995,53.59825200000001,24.200315029,15.6519179,46.512167000000005,55.59927700000002,44.922303000000014,49.545313000000036,39.6290825,98.61224299999992,83.31949399999998,68.35249400000004,52.87712999999999,17.794507999999993,19.119102,21.66297400000001,45.96839099999999,23.24717399999999,49.45232100000001,59.401318,65.96617762000002,68.98151899999999,50.41271899999998,16.767287400000004,20.21646499999999,21.57447600000002,47.921616000000014,20.235077999999998,0.00957427108,0.029307362490000002,0.0,0.5669502888100001,0.3718708653959017,4.0493697306000005
80.0,0.0,0.0,139.59497,0.5089,34.6796,33.0194,7.29653,3.57034,16.2436,14.827,41.5886,14.7093,16.0221,3.35894,32.1197,11.5966,23.8061,29.9237,24.7069,27.0472,20.5467,12.5673,7.19681,36.2435,33.4278,4.45746,9.94938,6.97351,19.5113,18.1239,15.5006,17.6493,31.5876,23.9108,25.8578,24.6672,9.65303,11.9771,12.402,28.141,14.1546,11.6054,37.3249,12.062,7.39814,26.6541,7.8474,8.03246,10.4895,18.05,13.9978,0.0,0.0,0.0,0.123297259,1.82643e-05,3.1057704154000008
17.0,1.0,0.0,1006.9095,-0.433,3.49419,5.10211,2.92323,2.16295,3.8524,2.02982,0.520167,38.9633,8.69263,1.42466,2.74678,4.22766,12.4842,9.54126,4.93844,64.7819,2.9618,3.68586,112.341,22.3236,5.26453,0.311329,1.77716,3.44775,4.84882,10.0688,16.055,3.1546,2.80692,4.49293,1.95095,3.98414,1.00705,2.02523,8.16067,1.71526,3.34507,8.79466,8.66642,0.157691,6.40418,3.99575,0.598217,0.801155,1.83437,9.18845,5.70584,0.816284141,0.930627006,0.0,0.158249199,4.632830000000001e-18,7.94256213
269.0,1.0,0.0,62.69652,-0.5859,5.08615,10.0526,1.82702,5.30276,3.54464,5.71468,4.6432,1.05922,2.67546,5.03811,2.65881,3.0219,0.807384,2.67347,7.61383,3.88333,13.1199,2.42659,3.12083,2.94785,6.14392,0.0532733,0.527113,0.891765,2.50069,2.88098,10.0737,2.6396,5.78587,3.44046,5.07909,4.42046,0.778696,0.341963,2.05341,0.287553,0.528475,7.30688,3.34022,0.209253,0.0129655,3.94636,0.521884,1.82207,0.498942,5.28917,2.09997,0.0,0.514240382,0.0,0.238498077,0.000244369,2.80622297
266.0,1.0,0.0,95.03749,0.2683,0.225416,0.215442,14.5952,14.0945,0.914839,1.20876,0.182195,24.2928,0.358247,0.121381,0.137768,0.515277,0.313522,5.63343,4.74399,2.97196,2.4516,0.900845,1.23019,1.10683,0.150501,0.0938949,0.532266,0.704522,0.283678,1.97173,2.07904,0.133087,0.168653,2.32312,0.102387,0.428788,3.85523,6.8799,6.93907,0.936963,12.0295,5.24908,0.142206,0.6053,0.0147508,3.59232,2.71917,0.829399,2.21775,2.18165,12.8994,0.0,0.570663532,0.0,0.5043375556100002,0.26763489500566545,2.91936788
